entry_date,entry_utc,exit_utc,strategy,schedule,exit,qty,call,put,contracts,spot_open,spot_close,pnl_btc,pnl_usd,fees_usd,pnl_usd_per_lot
2026-07-01,2026-07-01 20:05,2026-07-02 08:00,tudysho_eisbach,mon_thu,expiry,22.399999618530273,61500.0,58000.0,BTC-2JUL26-61500-C | BTC-2JUL26-58000-P,59864.5,60090.5,,600.6181030273438,69.86426544189453,26.813308627491484
2026-07-02,2026-07-02 20:00,2026-07-03 08:00,tudysho_eisbach,mon_thu,expiry,22.0,63000.0,59500.0,BTC-3JUL26-63000-C | BTC-3JUL26-59500-P,61386.5,61721.5,,362.9341735839844,42.21672439575195,16.49700789018111
2026-07-03,2026-07-03 16:25,2026-07-04 08:00,tudysho_eisbach,fri,expiry,21.799999237060547,64000.0,60500.0,BTC-4JUL26-64000-C | BTC-4JUL26-60500-P,62035.5,62516.0,,242.2913055419922,28.1834716796875,11.114280459702535
2026-07-06,2026-07-06 21:20,2026-07-07 08:00,tudysho_eisbach,mon_thu,expiry,21.100000381469727,66000.0,62500.0,BTC-7JUL26-66000-C | BTC-7JUL26-62500-P,64221.5,63067.0,,364.1624755859375,42.35960006713867,17.258884786833907
2026-07-08,2026-07-08 20:05,2026-07-09 08:00,tudysho_eisbach,mon_thu,expiry,21.799999237060547,64000.0,60500.0,BTC-9JUL26-64000-C | BTC-9JUL26-60500-P,62261.5,62946.0,,607.9349975585938,70.71536254882812,27.886927469478483
2026-07-10,2026-07-10 16:15,2026-07-11 08:00,tudysho_eisbach,fri,expiry,21.299999237060547,66000.0,62500.0,BTC-11JUL26-66000-C | BTC-11JUL26-62500-P,64065.5,64150.0,,244.48086547851562,28.438161849975586,11.4779753162214
2026-07-13,2026-07-13 05:10,2026-07-13 08:00,tudysho_eisbach,mon_early,expiry,21.799999237060547,63500.0,62000.0,BTC-13JUL26-63500-C | BTC-13JUL26-62000-P,62838.0,62986.5,,368.138427734375,42.822086334228516,16.88708443202743
2026-07-13,2026-07-13 20:00,2026-07-14 08:00,tudysho_eisbach,mon_thu,expiry,22.100000381469727,64000.0,60000.0,BTC-14JUL26-64000-C | BTC-14JUL26-60000-P,62217.0,62490.5,,369.5163269042969,42.982364654541016,16.72019549891622
2026-07-14,2026-07-14 20:00,2026-07-15 08:00,tudysho_eisbach,mon_thu,expiry,21.399999618530273,66500.0,62500.0,BTC-15JUL26-66500-C | BTC-15JUL26-62500-P,64546.5,64577.0,,494.9456787109375,57.57238006591797,23.128303155779673
2026-07-15,2026-07-15 20:05,2026-07-16 08:00,tudysho_eisbach,mon_thu,expiry,21.299999237060547,67000.0,63000.0,BTC-16JUL26-67000-C | BTC-16JUL26-63000-P,64923.5,64210.0,,247.7550811767578,28.819021224975586,11.631694368593257
2026-07-16,2026-07-16 23:20,2026-07-17 08:00,tudysho_eisbach,mon_thu,expiry,21.700000762939453,65500.0,62000.0,BTC-17JUL26-65500-C | BTC-17JUL26-62000-P,63838.0,62742.0,,248.1875762939453,28.86932945251465,11.437215095301505
2026-07-17,2026-07-17 16:00,2026-07-18 00:00,tudysho_eisbach,fri,end_of_data,21.899999618530273,65000.0,61500.0,BTC-18JUL26-65000-C | BTC-18JUL26-61500-P,63406.0,63919.0,,-90.53633880615234,87.16593170166016,-4.13407946955153
