entry_date,entry_utc,exit_utc,strategy,schedule,exit,qty,call,put,contracts,spot_open,spot_close,pnl_btc,pnl_usd,fees_usd,pnl_usd_per_lot
2026-07-01,2026-07-01 20:03,2026-07-02 08:00,short_str_turb_dyn,legacy,expiry,20.0,62000.0,58000.0,BTC-2JUL26-62000-C | BTC-2JUL26-58000-P,59894.0,60068.23,0.009045880000000001,543.3700003924001,57.3122996076,27.168500019620005
2026-07-02,2026-07-02 20:33,2026-07-03 08:00,short_str_turb_dyn,legacy,expiry,20.0,64000.0,59500.0,BTC-3JUL26-64000-C | BTC-3JUL26-59500-P,61321.52,61689.68,0.00179169,110.5287827592,12.850577240800002,5.52643913796
2026-07-03,2026-07-03 20:33,2026-07-04 08:00,short_str_turb_dyn,legacy,expiry,20.0,64000.0,60000.0,BTC-4JUL26-64000-C | BTC-4JUL26-60000-P,62554.1,62518.38,0.002,125.03676,0.0,6.251838
2026-07-06,2026-07-06 20:33,2026-07-07 08:00,short_str_turb_dyn,legacy,expiry,20.0,66000.0,61500.0,BTC-7JUL26-66000-C | BTC-7JUL26-61500-P,63800.89,63049.52,0.00199271,125.63940899919999,0.4596310008,6.281970449959999
2026-07-07,2026-07-07 20:00,2026-07-08 08:00,short_str_turb_dyn,legacy,expiry,20.0,66000.0,61500.0,BTC-8JUL26-66000-C | BTC-8JUL26-61500-P,,62838.08,0.004,251.35232000000002,0.0,12.567616000000001
2026-07-08,2026-07-08 20:03,2026-07-09 08:00,tudysho,mon_thu,expiry,20.0,64000.0,60500.0,BTC-9JUL26-64000-C | BTC-9JUL26-60500-P,62201.66,62954.05,0.01093024,688.102875472,67.34572452799999,34.4051437736
2026-07-09,2026-07-09 20:00,2026-07-10 08:00,tudysho,mon_thu,expiry,20.0,65000.0,61500.0,BTC-10JUL26-65000-C | BTC-10JUL26-61500-P,63221.05,63944.78,0.004,255.77912,0.0,12.788956
2026-07-10,2026-07-10 16:00,2026-07-11 08:00,tudysho,fri,expiry,20.0,66000.0,62000.0,BTC-11JUL26-66000-C | BTC-11JUL26-62000-P,64007.35,64117.2,0.00358334,229.75372744799998,26.715072552,11.487686372399999
2026-07-13,2026-07-13 05:33,2026-07-13 08:00,tudysho,mon_early,expiry,20.0,63500.0,61500.0,BTC-13JUL26-63500-C | BTC-13JUL26-61500-P,62679.88,62948.38,0.002,125.89676,0.0,6.294838
2026-07-13,2026-07-13 20:03,2026-07-14 08:00,tudysho,mon_thu,expiry,20.0,64000.0,60000.0,BTC-14JUL26-64000-C | BTC-14JUL26-60000-P,62208.66,62474.09,0.00537503,335.8001079727,39.044432027300005,16.790005398635
2026-07-14,2026-07-14 20:03,2026-07-15 08:00,tudysho,mon_thu,expiry,20.0,66500.0,62500.0,BTC-15JUL26-66500-C | BTC-15JUL26-62500-P,64493.5,64527.38,0.0071667,462.44837424599996,53.770665754,23.122418712299996
2026-07-15,2026-07-15 20:00,2026-07-16 08:00,tudysho,mon_thu,expiry,20.0,67000.0,63000.0,BTC-16JUL26-67000-C | BTC-16JUL26-63000-P,64886.29,64183.48,0.00358334,229.9912312232,26.7426887768,11.49956156116
2026-07-16,2026-07-16 20:00,2026-07-17 08:00,tudysho,mon_thu,expiry,20.0,66000.0,62500.0,BTC-17JUL26-66000-C | BTC-17JUL26-62500-P,64227.02,62776.39,0.00537502,337.42435177780004,39.233988222200004,16.87121758889
2026-07-17,2026-07-17 16:00,2026-07-18 08:00,tudysho,fri,expiry,20.0,65000.0,61500.0,BTC-18JUL26-65000-C | BTC-18JUL26-61500-P,63396.1,63966.46,0.0071667,458.428428882,53.303251118,22.921421444099998
