trade_num,side,exit_type,net_pnl,strike,expiry,spot_r,spot_p,bid_entry,ask_entry,mark_entry,delta_p,delta_r
107,Short put,ask,566.4,72000.0,25APR25,80748.0,80887.0,0.0085,0.009,0.0087,0.142,0.15
108,Short put,ask,689.7,75000.0,25APR25,83311.0,83430.0,0.0095,0.01,0.0096,0.156,0.15
109,Short put,ask,532.34,76000.0,25APR25,84500.0,84734.0,0.0075,0.0085,0.008,0.141,0.15
110,Short put,ask,479.69,78000.0,25APR25,85537.0,85626.0,0.0065,0.0075,0.007,0.144,0.15
111,Short put,ask,525.4,78000.0,2MAY25,84759.0,84913.0,0.0075,0.008,0.0077,0.158,0.15
112,Short put,ask,491.32,84000.0,9MAY25,92606.0,92736.0,0.007,0.0075,0.0072,0.14,0.15
113,Short put,ask,410.8,85000.0,9MAY25,93238.0,93387.0,0.006,0.007,0.0064,0.136,0.15
114,Short put,ask,420.11,87000.0,9MAY25,94693.0,94903.0,0.006,0.0065,0.0063,0.141,0.15
115,Short put,ask,463.45,87000.0,9MAY25,93950.0,94156.0,0.0065,0.007,0.0069,0.156,0.15
116,Short put,ask,382.89,87000.0,9MAY25,94268.0,94381.0,0.0055,0.006,0.0057,0.139,0.15
117,Short put,ask,441.61,88000.0,9MAY25,94311.0,94445.0,0.006,0.0065,0.0065,0.161,0.15
118,Short put,ask,380.26,89000.0,9MAY25,94921.0,95035.0,0.005,0.0055,0.0053,0.151,0.15
119,Short put,ask,529.13,88000.0,16MAY25,95153.0,95351.0,0.0075,0.0085,0.0079,0.166,0.15
120,Short put,ask,462.25,91000.0,23MAY25,98808.0,99020.0,0.0065,0.007,0.0068,0.15,0.15
121,Short put,ask,555.83,95000.0,23MAY25,102956.0,103225.0,0.0075,0.008,0.0076,0.159,0.15
122,Short put,ask,466.58,96000.0,23MAY25,103360.0,103628.0,0.0065,0.007,0.0067,0.157,0.15
123,Short put,ask,475.73,96000.0,23MAY25,103857.0,104173.0,0.006,0.0065,0.0062,0.145,0.15
124,Short put,ask,325.38,96000.0,23MAY25,103954.0,104214.0,0.0055,0.006,0.0058,0.14,0.15
125,Short put,stop_loss,-1225.78,96000.0,23MAY25,102458.0,102688.0,0.005,0.0055,0.0053,0.148,0.15
126,Short put,ask,451.51,98000.0,23MAY25,103906.0,104160.0,0.005,0.006,0.0055,0.16,0.15
127,Short put,ask,427.25,96000.0,30MAY25,103983.0,104187.0,0.0055,0.006,0.0057,0.138,0.15
128,Short put,ask,351.1,96000.0,30MAY25,103377.0,103642.0,0.005,0.006,0.0056,0.142,0.15
129,Short put,ask,323.35,96000.0,30MAY25,103699.0,103959.0,0.0046,0.005,0.0049,0.13,0.15
130,Short put,ask,465.79,99000.0,30MAY25,106132.0,106397.0,0.0055,0.006,0.0058,0.15,0.15
131,Short put,ask,143.11,101000.0,6JUN25,110846.0,111242.0,0.0075,0.0085,0.0082,0.152,0.15
132,Short put,ask,207.39,98000.0,13JUN25,107706.0,108037.0,0.006,0.0065,0.0064,0.134,0.15
133,Short put,ask,136.24,98000.0,13JUN25,106112.0,106440.0,0.007,0.0075,0.0073,0.156,0.15
134,Short put,ask,420.61,95000.0,13JUN25,103575.0,103878.0,0.0055,0.0065,0.0061,0.136,0.15
135,Short put,ask,586.88,98000.0,13JUN25,104581.0,104791.0,0.0075,0.008,0.008,0.183,0.15
136,Short put,ask,455.13,98000.0,13JUN25,104873.0,105071.0,0.006,0.0065,0.0063,0.16,0.15
137,Short put,ask,391.15,98000.0,13JUN25,105504.0,105687.0,0.0046,0.005,0.0049,0.133,0.15
138,Short put,ask,345.78,96000.0,20JUN25,104703.0,104918.0,0.005,0.006,0.0055,0.13,0.15
139,Short put,ask,244.69,95000.0,20JUN25,103029.0,103167.0,0.0055,0.0065,0.006,0.141,0.15
140,Short put,ask,219.63,98000.0,20JUN25,104956.0,105094.0,0.0055,0.0065,0.006,0.156,0.15
141,Short put,ask,209.73,98000.0,20JUN25,105492.0,105612.0,0.005,0.0055,0.0052,0.14,0.15
142,Short put,ask,305.69,98000.0,20JUN25,105440.0,105581.0,0.0048,0.0055,0.0051,0.139,0.15
143,Short put,ask,203.34,102000.0,20JUN25,109349.0,109557.0,0.0046,0.005,0.0048,0.136,0.15
144,Short put,ask,-22.81,100000.0,27JUN25,107807.0,108022.0,0.0065,0.007,0.0069,0.158,0.15
145,Short put,ask,353.89,95000.0,27JUN25,104152.0,104290.0,0.0055,0.006,0.0056,0.128,0.15
146,Short put,ask,175.81,97000.0,27JUN25,105350.0,105580.0,0.005,0.006,0.0053,0.131,0.15
147,Short put,ask,129.45,97000.0,27JUN25,106105.0,106291.0,0.005,0.0055,0.0051,0.122,0.15
