trade_num,entry_date,fill_entry_utc,fill_exit_utc,side,strike,dte,abs_delta,spot_entry,spot_exit,bull_score,bear_score,selected_score,triggered,exit_type,net_pnl,cum_pnl,equity
1.0,2024-10-24,2024-10-24 06:00,2024-10-31 07:00,Short put,60000.0,15.1,0.15,67340.0,72287.0,0.448,0.956,0.956,Yes,ask,363.59,363.59,100363.59
2.0,2024-10-25,2024-10-25 06:00,2024-11-01 07:00,Short put,60000.0,14.1,0.15,67760.0,69184.0,0.476,0.965,0.965,Yes,ask,191.96,555.54,100555.54
3.0,2024-10-26,2024-10-26 06:00,2024-11-02 07:00,Short put,60000.0,13.1,0.15,67043.0,69733.0,0.464,0.952,0.952,Yes,ask,415.06,970.6,100970.6
4.0,2024-10-27,2024-10-27 07:00,2024-11-03 07:00,Short put,60000.0,12.0,0.15,67105.0,68547.0,0.441,0.943,0.943,Yes,ask,189.11,1159.71,101159.71
5.0,2024-10-28,2024-10-28 07:00,2024-11-04 07:00,Short put,62000.0,11.0,0.15,67881.0,69068.0,0.396,0.953,0.953,Yes,ask,307.15,1466.86,101466.86
6.0,2024-10-29,2024-10-29 07:00,2024-11-05 07:00,Short put,64000.0,10.0,0.15,71245.0,68757.0,0.499,0.9,0.9,Yes,ask,-109.49,1357.36,101357.36
7.0,2024-10-30,2024-10-30 07:00,2024-11-06 07:00,Short put,65000.0,9.0,0.15,72361.0,74285.0,0.688,0.979,0.979,Yes,ask,535.82,1893.18,101893.18
8.0,2024-10-31,2024-10-31 07:00,2024-11-07 07:00,Short put,64000.0,15.0,0.15,72287.0,74847.0,0.664,0.98,0.98,Yes,ask,648.8,2541.98,102541.98
9.0,2024-11-12,2024-11-12 07:00,2024-11-19 07:00,Short put,81000.0,10.0,0.15,89659.0,92019.0,0.616,0.979,0.979,Yes,ask,700.49,3242.47,103242.47
10.0,2024-11-14,2024-11-14 07:00,2024-11-21 07:00,Short put,80000.0,15.0,0.15,89460.0,97067.0,0.636,0.956,0.956,Yes,ask,622.19,3864.66,103864.66
11.0,2024-11-16,2024-11-16 07:00,2024-11-23 07:00,Short put,83000.0,13.0,0.15,91288.0,98838.0,0.577,0.947,0.947,Yes,ask,563.35,4428.01,104428.01
12.0,2024-11-17,2024-11-17 07:00,2024-11-24 07:00,Short put,83000.0,12.0,0.15,90639.0,98463.0,0.514,0.965,0.965,Yes,ask,555.48,4983.5,104983.5
13.0,2024-11-18,2024-11-18 07:00,2024-11-25 07:00,Short put,84000.0,11.0,0.15,92013.0,98262.0,0.693,0.954,0.954,Yes,ask,625.82,5609.31,105609.31
14.0,2024-11-19,2024-11-19 07:00,2024-11-26 07:00,Short put,84000.0,10.0,0.15,92019.0,94536.0,0.489,0.944,0.944,Yes,ask,542.06,6151.37,106151.37
15.0,2024-11-20,2024-11-20 07:00,2024-11-27 07:00,Short put,85000.0,9.0,0.15,92482.0,93050.0,0.487,0.946,0.946,Yes,ask,408.33,6559.7,106559.7
16.0,2024-11-21,2024-11-21 07:00,2024-11-28 07:00,Short put,87000.0,15.0,0.15,97067.0,95543.0,0.766,0.97,0.97,Yes,ask,317.42,6877.12,106877.12
17.0,2024-11-22,2024-11-22 07:00,2024-11-29 07:00,Short put,89000.0,14.0,0.15,99128.0,96390.0,0.743,0.986,0.986,Yes,ask,427.92,7305.04,107305.04
18.0,2024-11-23,2024-11-23 07:00,2024-11-30 07:00,Short put,89000.0,13.0,0.15,98838.0,96746.0,0.802,0.986,0.986,Yes,ask,584.22,7889.26,107889.26
19.0,2024-11-24,2024-11-24 07:00,2024-12-01 07:00,Short put,89000.0,12.0,0.15,98463.0,96389.0,0.8,0.967,0.967,Yes,ask,562.24,8451.5,108451.5
20.0,2024-11-25,2024-11-25 07:00,2024-12-02 07:00,Short put,89000.0,11.0,0.15,98262.0,96407.0,0.846,0.988,0.988,Yes,ask,499.67,8951.16,108951.16
21.0,2024-11-26,2024-11-26 07:00,2024-12-03 07:00,Short put,86000.0,10.0,0.15,94536.0,95724.0,0.826,0.981,0.981,Yes,ask,622.49,9573.66,109573.66
22.0,2024-11-28,2024-11-28 07:00,2024-12-05 07:00,Short put,85000.0,15.0,0.15,95543.0,101953.0,0.556,0.968,0.968,Yes,ask,561.76,10135.42,110135.42
