trade_num,entry_date,side,short_strike,expiry,exit_type,short_pnl,long_strike,long_delta,long_ask_entry,long_bid_exit,long_cost_usd,long_exit_usd,long_pnl_usd,spread_pnl,spread_width_usd,spot_entry,spot_exit,note
107,2025-04-11,Short put,72000.0,25APR25,ask,566.4,65000.0,0.0478,0.003,0.0004,-262.88,30.37,-232.52,333.88,7000.0,80887.0,84749.0,
108,2025-04-12,Short put,75000.0,25APR25,ask,689.7,68000.0,0.0522,0.0032,0.0002,-287.83,15.24,-272.59,417.11,7000.0,83430.0,85076.0,
109,2025-04-13,Short put,76000.0,25APR25,ask,532.34,70000.0,0.0494,0.0028,0.0002,-258.44,15.25,-243.19,289.15,6000.0,84734.0,85101.0,
110,2025-04-15,Short put,78000.0,25APR25,ask,479.69,72000.0,0.0466,0.0022,0.0002,-207.99,15.84,-192.16,287.53,6000.0,85621.0,88391.0,
111,2025-04-18,Short put,78000.0,2MAY25,ask,525.4,72000.0,0.0512,0.0025,0.0003,-233.51,25.12,-208.39,317.01,6000.0,84913.0,93472.0,
112,2025-04-24,Short put,84000.0,9MAY25,ask,491.32,78000.0,0.0509,0.0025,0.0003,-255.03,25.62,-229.4,261.92,6000.0,92736.0,95351.0,
113,2025-04-25,Short put,85000.0,9MAY25,ask,410.8,80000.0,0.0535,0.0024,0.0004,-247.48,34.77,-212.7,198.1,5000.0,93387.0,97049.0,
114,2025-04-26,Short put,87000.0,9MAY25,ask,420.11,81000.0,0.0474,0.0021,0.0002,-220.06,17.31,-202.75,217.36,6000.0,94902.0,96633.0,
115,2025-04-27,Short put,87000.0,9MAY25,ask,463.45,81000.0,0.0506,0.0022,0.0002,-228.73,17.24,-211.49,251.96,6000.0,94156.0,96214.0,
116,2025-04-28,Short put,87000.0,9MAY25,ask,382.89,82000.0,0.0524,0.0023,0.0002,-239.7,17.0,-222.7,160.19,5000.0,94381.0,94884.0,
117,2025-04-29,Short put,88000.0,9MAY25,ask,441.61,82000.0,0.0453,0.0018,0.0002,-187.72,16.92,-170.79,270.82,6000.0,94445.0,94446.0,
118,2025-04-30,Short put,89000.0,9MAY25,ask,380.26,84000.0,0.0479,0.0017,0.0001,-178.4,8.64,-169.75,210.51,5000.0,95036.0,96487.0,
119,2025-05-01,Short put,88000.0,16MAY25,ask,529.13,80000.0,0.0411,0.0018,0.0003,-189.51,26.56,-162.96,366.17,8000.0,95351.0,98825.0,
120,2025-05-08,Short put,91000.0,23MAY25,ask,462.25,85000.0,0.0501,0.0023,0.0005,-251.48,45.86,-205.61,256.64,6000.0,99020.0,102395.0,
121,2025-05-09,Short put,95000.0,23MAY25,ask,555.83,88000.0,0.0539,0.0026,0.0004,-294.19,37.26,-256.94,298.89,7000.0,103226.0,103978.0,
122,2025-05-10,Short put,96000.0,23MAY25,ask,466.58,90000.0,0.0505,0.0021,0.0004,-240.3,37.04,-203.25,263.33,6000.0,103628.0,103377.0,
123,2025-05-11,Short put,96000.0,23MAY25,ask,475.73,91000.0,0.0541,0.0022,0.0004,-253.07,37.15,-215.92,259.81,5000.0,104177.0,103668.0,
124,2025-05-12,Short put,96000.0,23MAY25,ask,325.38,91000.0,0.0515,0.0021,0.0005,-241.65,46.16,-195.5,129.88,5000.0,104214.0,103054.0,
125,2025-05-13,Short put,96000.0,23MAY25,stop_loss,-1225.78,91000.0,0.0492,0.0017,0.0013,-192.76,119.61,-73.15,-1298.93,5000.0,102689.0,102707.0,
126,2025-05-14,Short put,98000.0,23MAY25,ask,451.51,93000.0,0.0524,0.0018,0.0001,-207.02,9.64,-197.38,254.13,5000.0,104160.0,107607.0,
127,2025-05-16,Short put,96000.0,30MAY25,ask,427.25,90000.0,0.0492,0.002,0.0003,-230.09,29.95,-200.14,227.11,6000.0,104187.0,111428.0,
128,2025-05-17,Short put,96000.0,30MAY25,ask,351.1,90000.0,0.0501,0.0019,0.0004,-217.44,38.97,-178.47,172.63,6000.0,103641.0,108747.0,
129,2025-05-18,Short put,96000.0,30MAY25,ask,323.35,90000.0,0.0442,0.0017,0.0003,-195.15,29.2,-165.95,157.4,6000.0,103959.0,108644.0,
130,2025-05-20,Short put,99000.0,30MAY25,ask,465.79,94000.0,0.0557,0.002,0.0003,-234.98,29.38,-205.6,260.19,5000.0,106403.0,109321.0,
131,2025-05-22,Short put,101000.0,6JUN25,ask,143.11,94000.0,0.0548,0.0027,0.0013,-328.16,125.81,-202.35,-59.24,7000.0,111241.0,108037.0,
132,2025-05-29,Short put,98000.0,13JUN25,ask,207.39,90000.0,0.0384,0.0019,0.0006,-226.66,56.33,-170.33,37.06,8000.0,108037.0,104805.0,
133,2025-05-30,Short put,98000.0,13JUN25,ask,136.24,90000.0,0.0473,0.0022,0.0007,-258.57,64.64,-193.93,-57.69,8000.0,106440.0,103081.0,
134,2025-05-31,Short put,95000.0,13JUN25,ask,420.61,90000.0,0.0556,0.0025,0.0003,-285.66,28.22,-257.45,163.16,5000.0,103878.0,105001.0,
135,2025-06-01,Short put,98000.0,13JUN25,ask,586.88,90000.0,0.0418,0.0018,0.0003,-208.28,28.36,-179.92,406.96,8000.0,104791.0,105511.0,
136,2025-06-02,Short put,98000.0,13JUN25,ask,455.13,90000.0,0.0334,0.0014,0.0003,-162.43,28.34,-134.09,321.04,8000.0,105071.0,105451.0,
137,2025-06-03,Short put,98000.0,13JUN25,ask,391.15,95000.0,0.0697,0.0025,0.0003,-290.64,29.39,-261.25,129.9,3000.0,105686.0,109349.0,
138,2025-06-05,Short put,96000.0,20JUN25,ask,345.78,90000.0,0.0436,0.0019,0.0004,-220.12,38.61,-181.5,164.28,6000.0,104918.0,107765.0,
139,2025-06-06,Short put,95000.0,20JUN25,ask,244.69,90000.0,0.0562,0.0024,0.0009,-273.39,83.97,-189.42,55.27,5000.0,103167.0,104154.0,
140,2025-06-07,Short put,98000.0,20JUN25,ask,219.63,90000.0,0.034,0.0013,0.0006,-150.86,56.62,-94.23,125.4,8000.0,105094.0,105350.0,
