date,schedule,entry_utc,watch_end_utc,total_ticks,bt_openable_ticks,bt_blocked_ticks,mark_fallback_ok_ticks,first_bt_openable_utc,at_entry_call_bid,at_entry_call_mark,at_entry_put_bid,at_entry_put_mark,at_entry_mark_fallback_ok,live_filled
2026-07-07,mon_thu,2026-07-07 20:00,2026-07-08 00:00,48,0,48,17,,0.0,0.00019999999494757503,0.00019999999494757503,0.0003000000142492354,True,False
2026-07-08,mon_thu,2026-07-08 20:00,2026-07-09 00:00,47,8,39,38,2026-07-08 20:05,0.0,0.00019999999494757503,0.00039999998989515007,0.00039999998989515007,True,True
2026-07-09,mon_thu,2026-07-09 20:00,2026-07-10 00:00,48,0,48,27,,0.0,9.999999747378752e-05,0.00019999999494757503,0.00019999999494757503,True,True
2026-07-10,fri,2026-07-10 16:00,2026-07-11 00:00,95,3,92,41,2026-07-10 16:15,0.0,9.999999747378752e-05,0.0,9.999999747378752e-05,True,True
2026-07-13,mon_early,2026-07-13 05:00,2026-07-13 08:00,36,1,35,12,2026-07-13 05:10,0.0,9.999999747378752e-05,0.0,9.999999747378752e-05,True,True
2026-07-13,mon_thu,2026-07-13 20:00,2026-07-14 00:00,48,7,41,12,2026-07-13 20:00,9.999999747378752e-05,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,True,True
2026-07-14,mon_thu,2026-07-14 20:00,2026-07-15 00:00,47,32,15,15,2026-07-14 20:00,9.999999747378752e-05,0.00019999999494757503,0.0003000000142492354,0.00039999998989515007,True,True
2026-07-15,mon_thu,2026-07-15 20:00,2026-07-16 00:00,48,3,45,36,2026-07-15 20:05,9.999999747378752e-05,9.999999747378752e-05,0.0,9.999999747378752e-05,True,True
2026-07-16,mon_thu,2026-07-16 20:00,2026-07-17 00:00,48,7,41,3,2026-07-16 23:20,0.0,9.999999747378752e-05,0.00019999999494757503,0.0003000000142492354,True,True
2026-07-17,fri,2026-07-17 16:00,2026-07-18 00:00,95,20,75,35,2026-07-17 16:00,9.999999747378752e-05,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,True,True
