combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,status
57,1,1,2025-06-26 17:00:00+00:00,open,BTC-27JUN25-111000-C,sell,11.2,0.0002,0.0022399998,0.00023340799,107244.84,240.22844,25.031803,100215.195,,0
57,1,1,2025-06-26 17:00:00+00:00,open,BTC-27JUN25-104000-P,sell,11.2,0.0002,0.0022399998,0.00023340799,107244.84,240.22844,25.031803,100430.39,,0
57,2,1,2025-06-27 08:00:00+00:00,close,BTC-27JUN25-111000-C,buy,11.2,0.0,-0.0,0.0,107019.66,-0.0,0.0,100430.39,expiry,0
57,2,1,2025-06-27 08:00:00+00:00,close,BTC-27JUN25-104000-P,buy,11.2,0.0,-0.0,0.0,107019.66,-0.0,0.0,100430.39,expiry,0
57,3,3,2025-07-01 18:05:00+00:00,open,BTC-2JUL25-109000-C,sell,11.3,1e-04,0.00113,0.000117746,106227.16,120.03668,12.507822,100537.92,,0
57,3,3,2025-07-01 18:05:00+00:00,open,BTC-2JUL25-103000-P,sell,11.3,1e-04,0.00113,0.000117746,106227.16,120.03668,12.507822,100645.45,,0
57,4,3,2025-07-02 08:00:00+00:00,close,BTC-2JUL25-109000-C,buy,11.3,0.0,-0.0,0.0,107307.66,-0.0,0.0,100645.45,expiry,0
57,4,3,2025-07-02 08:00:00+00:00,close,BTC-2JUL25-103000-P,buy,11.3,0.0,-0.0,0.0,107307.66,-0.0,0.0,100645.45,expiry,0
57,5,5,2025-07-02 21:00:00+00:00,open,BTC-3JUL25-113000-C,sell,11.1,0.0002,0.00222,0.000231324,109207.1,242.43976,25.262222,100862.625,,0
57,5,5,2025-07-02 21:00:00+00:00,open,BTC-3JUL25-106000-P,sell,11.1,1e-04,0.00111,0.000115662,109207.1,121.21988,12.631111,100971.22,,0
57,6,5,2025-07-03 08:00:00+00:00,close,BTC-3JUL25-113000-C,buy,11.1,0.0,-0.0,0.0,109389.77,-0.0,0.0,100971.22,expiry,0
57,6,5,2025-07-03 08:00:00+00:00,close,BTC-3JUL25-106000-P,buy,11.1,0.0,-0.0,0.0,109389.77,-0.0,0.0,100971.22,expiry,0
57,7,7,2025-07-03 18:00:00+00:00,open,BTC-4JUL25-113000-C,sell,11.1,0.0002,0.00222,0.000231324,109602.94,243.31851,25.353788,101189.18,,0
57,7,7,2025-07-03 18:00:00+00:00,open,BTC-4JUL25-106000-P,sell,11.1,1e-04,0.00111,0.000115662,109602.94,121.659256,12.676894,101298.164,,0
