date,nav_open,nav_high,nav_low,nav_close,return_pct,drawdown_pct
2025-06-26,100000.0,100071.0,99588.8515625,100070.9296875,0.0709,-0.4818
2025-06-27,100070.9296875,100430.390625,100070.1640625,100430.390625,0.4304,-0.3587
2025-06-28,100430.390625,100430.390625,100430.390625,100430.390625,0.4304,-0.0
2025-06-29,100430.390625,100430.390625,100430.390625,100430.390625,0.4304,-0.0
2025-06-30,100430.390625,100430.390625,100430.390625,100430.390625,0.4304,-0.0
2025-07-01,100430.390625,100430.390625,99811.2265625,100287.1640625,0.2872,-0.6165
2025-07-02,100287.1640625,100645.453125,100241.4921875,100608.6640625,0.6087,-0.4014
2025-07-03,100608.6640625,101176.5078125,100565.59375,101054.7578125,1.0548,-0.6038
2025-07-04,101054.7578125,101298.1640625,101054.78125,101298.1640625,1.2982,-0.2403
2025-07-05,101298.1640625,101298.1640625,101298.1640625,101298.1640625,1.2982,-0.0
2025-07-06,101298.1640625,101298.1640625,101298.1640625,101298.1640625,1.2982,-0.0
2025-07-07,101298.1640625,101298.1640625,101298.1640625,101298.1640625,1.2982,-0.0
2025-07-08,101298.1640625,101298.1640625,100909.6640625,101031.2890625,1.0313,-0.3835
2025-07-09,101031.2890625,101515.109375,94342.9140625,99099.859375,-0.9001,-7.0652
2025-07-10,99099.859375,101843.65625,99100.625,101843.65625,1.8437,-2.6934
2025-07-11,101843.65625,101843.65625,101843.65625,101843.65625,1.8437,-0.0
2025-07-12,101843.65625,101843.65625,101843.65625,101843.65625,1.8437,-0.0
2025-07-13,101843.65625,101843.65625,101843.65625,101843.65625,1.8437,-0.0
2025-07-14,101843.65625,101843.65625,101300.8125,101426.609375,1.4266,-0.533
2025-07-15,101426.609375,102282.3984375,100026.0390625,102119.0078125,2.119,-2.206
2025-07-16,102119.0078125,102613.46875,101966.15625,102210.6484375,2.2106,-0.6308
2025-07-17,102210.6484375,102944.28125,102092.3828125,102944.28125,2.9443,-0.8275
2025-07-18,102944.28125,102944.28125,102944.28125,102944.28125,2.9443,-0.0
2025-07-19,102944.28125,102944.28125,102944.28125,102944.28125,2.9443,-0.0
2025-07-20,102944.28125,102944.28125,102944.28125,102944.28125,2.9443,-0.0
2025-07-21,102944.28125,102944.28125,102944.28125,102944.28125,2.9443,-0.0
2025-07-22,102944.28125,102944.28125,102277.8828125,102653.953125,2.654,-0.6473
2025-07-23,102653.953125,103277.6171875,102653.6953125,102989.09375,2.9891,-0.6041
2025-07-24,102989.09375,103611.890625,102923.0625,103408.484375,3.4085,-0.6648
2025-07-25,103408.484375,104355.328125,100895.5390625,104355.328125,4.3553,-3.3154
2025-07-26,104355.328125,104355.328125,104355.328125,104355.328125,4.3553,-0.0
2025-07-27,104355.328125,104355.328125,104355.328125,104355.328125,4.3553,-0.0
2025-07-28,104355.328125,104578.875,103952.4921875,104578.875,4.5789,-0.599
2025-07-29,104578.875,104678.765625,104050.3828125,104678.5546875,4.6786,-0.6003
2025-07-30,104678.5546875,105080.453125,103785.015625,105077.1328125,5.0771,-1.2328
2025-07-31,105077.1328125,105557.921875,103279.2421875,103279.2421875,3.2792,-2.1587
2025-08-01,103279.2421875,105629.640625,98142.6171875,105507.9453125,5.5079,-7.088
2025-08-02,105507.9453125,105507.9453125,105507.9453125,105507.9453125,5.5079,-0.1152
2025-08-03,105507.9453125,105507.9453125,105507.9453125,105507.9453125,5.5079,-0.1152
2025-08-04,105507.9453125,105607.90625,104849.125,105607.859375,5.6079,-0.7389
2025-08-05,105607.859375,105734.4921875,105607.9453125,105734.4921875,5.7345,-0.1197
2025-08-06,105734.4921875,105734.4921875,105734.4921875,105734.4921875,5.7345,-0.0
2025-08-07,105734.4921875,105734.4921875,104908.0703125,105548.4609375,5.5485,-0.7816
2025-08-08,105548.4609375,106188.8515625,105419.171875,106188.8515625,6.1889,-0.7248
2025-08-09,106188.8515625,106188.8515625,106188.8515625,106188.8515625,6.1889,-0.0
2025-08-10,106188.8515625,106188.8515625,106188.8515625,106188.8515625,6.1889,-0.0
2025-08-11,106188.8515625,106188.8515625,106188.8515625,106188.8515625,6.1889,-0.0
2025-08-12,106188.8515625,106188.8515625,105618.8671875,105874.609375,5.8746,-0.5368
2025-08-13,105874.609375,106646.390625,105746.6875,106646.390625,6.6464,-0.8436
2025-08-14,106646.390625,106646.390625,106646.390625,106646.390625,6.6464,-0.0
2025-08-15,106646.390625,106646.390625,106646.390625,106646.390625,6.6464,-0.0
2025-08-16,106646.390625,106646.390625,106646.390625,106646.390625,6.6464,-0.0
2025-08-17,106646.390625,106646.390625,106646.390625,106646.390625,6.6464,-0.0
2025-08-18,106646.390625,106646.390625,106232.796875,106492.4609375,6.4925,-0.3878
2025-08-19,106492.4609375,106876.25,105992.765625,106437.578125,6.4376,-0.8266
2025-08-20,106437.578125,107337.765625,106434.8671875,107280.9921875,7.281,-0.8412
2025-08-21,107280.9921875,107797.4453125,106971.2890625,107614.984375,7.615,-0.7664
2025-08-22,107614.984375,108261.4296875,107614.46875,108261.4296875,8.2614,-0.5976
2025-08-23,108261.4296875,108261.4296875,108261.4296875,108261.4296875,8.2614,-0.0
2025-08-24,108261.4296875,108261.4296875,108261.4296875,108261.4296875,8.2614,-0.0
2025-08-25,108261.4296875,108261.4296875,108261.4296875,108261.4296875,8.2614,-0.0
2025-08-26,108261.4296875,108437.0625,107659.984375,108432.421875,8.4324,-0.7166
2025-08-27,108432.421875,108960.34375,107998.015625,108779.515625,8.7795,-0.8832
2025-08-28,108779.515625,109609.484375,108777.46875,109609.484375,9.6095,-0.7591
2025-08-29,109609.484375,110136.3515625,109347.21875,110136.3515625,10.1364,-0.7165
2025-08-30,110136.3515625,110136.3515625,110136.3515625,110136.3515625,10.1364,-0.0
2025-08-31,110136.3515625,110136.3515625,110136.3515625,110136.3515625,10.1364,-0.0
2025-09-01,110136.3515625,110136.3515625,109324.5234375,109841.3359375,9.8413,-0.7371
2025-09-02,109841.3359375,110450.3359375,109661.5078125,110317.6171875,10.3176,-0.7142
2025-09-03,110317.6171875,110846.953125,110315.375,110846.953125,10.847,-0.4796
2025-09-04,110846.953125,111026.6484375,110366.6640625,110889.1171875,10.8891,-0.5944
2025-09-05,110889.1171875,111559.046875,110887.984375,111559.046875,11.559,-0.6015
2025-09-06,111559.046875,111559.046875,111559.046875,111559.046875,11.559,-0.0
2025-09-07,111559.046875,111559.046875,111559.046875,111559.046875,11.559,-0.0
2025-09-08,111559.046875,111559.046875,111559.046875,111559.046875,11.559,-0.0
2025-09-09,111559.046875,111785.421875,111246.8515625,111650.296875,11.6503,-0.4818
2025-09-10,111650.296875,111920.1875,111650.25,111920.1875,11.9202,-0.2412
2025-09-11,111920.1875,112011.703125,111334.4140625,111334.4140625,11.3344,-0.6047
2025-09-12,111334.4140625,112280.453125,110783.5078125,112280.453125,12.2805,-1.3332
2025-09-13,112280.453125,112280.453125,112280.453125,112280.453125,12.2805,-0.0
2025-09-14,112280.453125,112280.453125,112280.453125,112280.453125,12.2805,-0.0
2025-09-15,112280.453125,112280.453125,111710.140625,112115.71875,12.1157,-0.5079
2025-09-16,112115.71875,112735.8125,112056.96875,112735.8125,12.7358,-0.6022
2025-09-17,112735.8125,113750.9453125,112141.609375,113712.71875,13.7127,-1.4148
2025-09-18,113712.71875,113922.921875,113374.0703125,113922.921875,13.9229,-0.4818
2025-09-19,113922.921875,114194.71875,113922.2109375,114194.71875,14.1947,-0.2386
2025-09-20,114194.71875,114194.71875,114194.71875,114194.71875,14.1947,-0.0
2025-09-21,114194.71875,114194.71875,114194.71875,114194.71875,14.1947,-0.0
2025-09-22,114194.71875,114622.375,113450.3515625,114622.375,14.6224,-1.0225
2025-09-23,114622.375,115014.5390625,114621.859375,115014.5390625,15.0145,-0.3414
2025-09-24,115014.5390625,115014.5390625,115014.5390625,115014.5390625,15.0145,-0.0
2025-09-25,115014.5390625,115014.5390625,114404.2109375,114547.703125,14.5477,-0.5307
2025-09-26,114547.703125,115508.7734375,114542.3359375,115508.7734375,15.5088,-0.8367
2025-09-27,115508.7734375,115508.7734375,115508.7734375,115508.7734375,15.5088,-0.0
2025-09-28,115508.7734375,115508.7734375,115508.7734375,115508.7734375,15.5088,-0.0
2025-09-29,115508.7734375,115508.7734375,115508.7734375,115508.7734375,15.5088,-0.0
2025-09-30,115508.7734375,115508.7734375,115508.7734375,115508.7734375,15.5088,-0.0
2025-10-01,115508.7734375,115508.7734375,115199.8359375,115477.3046875,15.4773,-0.2675
2025-10-02,115477.3046875,115756.96875,114490.78125,115446.9921875,15.447,-1.0938
2025-10-03,115446.9921875,116006.8984375,115447.6875,116006.8984375,16.0069,-0.482
2025-10-04,116006.8984375,116006.8984375,116006.8984375,116006.8984375,16.0069,-0.0
2025-10-05,116006.8984375,116006.8984375,116006.8984375,116006.8984375,16.0069,-0.0
2025-10-06,116006.8984375,116006.8984375,115546.0625,115687.9609375,15.688,-0.3972
2025-10-07,115687.9609375,116380.515625,115687.296875,116380.515625,16.3805,-0.5956
2025-10-08,116380.515625,116380.515625,116071.7890625,116072.5546875,16.0726,-0.2653
2025-10-09,116072.5546875,116679.8359375,115980.34375,116679.109375,16.6791,-0.5995
