combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,status
445,1,1,2025-06-26 20:00:00+00:00,open,BTC-27JUN25-111000-C,sell,11.2,1e-04,0.0011199999,0.000116703995,107533.27,120.43726,12.549562,100107.89,,0
445,1,1,2025-06-26 20:00:00+00:00,open,BTC-27JUN25-104000-P,sell,11.2,1e-04,0.0011199999,0.000116703995,107533.27,120.43726,12.549562,100215.77,,0
445,2,1,2025-06-27 08:00:00+00:00,close,BTC-27JUN25-111000-C,buy,11.2,0.0,-0.0,0.0,107019.66,-0.0,0.0,100215.77,expiry,0
445,2,1,2025-06-27 08:00:00+00:00,close,BTC-27JUN25-104000-P,buy,11.2,0.0,-0.0,0.0,107019.66,-0.0,0.0,100215.77,expiry,0
445,3,3,2025-07-01 22:05:00+00:00,open,BTC-2JUL25-109000-C,sell,11.4,1e-04,0.00114,0.000118788,105933.67,120.76438,12.583649,100323.95,,0
445,3,3,2025-07-01 22:05:00+00:00,open,BTC-2JUL25-103000-P,sell,11.4,1e-04,0.00114,0.000118788,105933.67,120.76438,12.583649,100432.14,,0
445,4,3,2025-07-02 08:00:00+00:00,close,BTC-2JUL25-109000-C,buy,11.4,0.0,-0.0,0.0,107307.66,-0.0,0.0,100432.14,expiry,0
445,4,3,2025-07-02 08:00:00+00:00,close,BTC-2JUL25-103000-P,buy,11.4,0.0,-0.0,0.0,107307.66,-0.0,0.0,100432.14,expiry,0
445,5,5,2025-07-02 21:00:00+00:00,open,BTC-3JUL25-113000-C,sell,11.0,0.0002,0.0022,0.00022923999,109207.1,240.25562,25.034636,100647.36,,0
445,5,5,2025-07-02 21:00:00+00:00,open,BTC-3JUL25-106000-P,sell,11.0,1e-04,0.0011,0.000114619994,109207.1,120.12781,12.517318,100754.97,,0
445,6,5,2025-07-03 08:00:00+00:00,close,BTC-3JUL25-113000-C,buy,11.0,0.0,-0.0,0.0,109389.77,-0.0,0.0,100754.97,expiry,0
445,6,5,2025-07-03 08:00:00+00:00,close,BTC-3JUL25-106000-P,buy,11.0,0.0,-0.0,0.0,109389.77,-0.0,0.0,100754.97,expiry,0
445,7,7,2025-07-03 20:00:00+00:00,open,BTC-4JUL25-113000-C,sell,11.0,0.0002,0.0022,0.00022923999,109856.77,241.68489,25.183567,100971.47,,0
445,7,7,2025-07-03 20:00:00+00:00,open,BTC-4JUL25-107000-P,sell,11.0,0.0002,0.0022,0.00022923999,109856.77,241.68489,25.183567,101187.97,,0
445,8,7,2025-07-04 08:00:00+00:00,close,BTC-4JUL25-113000-C,buy,11.0,0.0,-0.0,0.0,108743.36,-0.0,0.0,101187.97,expiry,0
445,8,7,2025-07-04 08:00:00+00:00,close,BTC-4JUL25-107000-P,buy,11.0,0.0,-0.0,0.0,108743.36,-0.0,0.0,101187.97,expiry,0
445,9,9,2025-07-08 20:00:00+00:00,open,BTC-9JUL25-112000-C,sell,11.2,1e-04,0.0011199999,0.000116703995,108770.09,121.8225,12.693905,101297.1,,0
445,9,9,2025-07-08 20:00:00+00:00,open,BTC-9JUL25-105000-P,sell,11.2,1e-04,0.0011199999,0.000116703995,108770.09,121.8225,12.693905,101406.23,,0
445,10,9,2025-07-09 08:00:00+00:00,close,BTC-9JUL25-112000-C,buy,11.2,0.0,-0.0,0.0,108743.28,-0.0,0.0,101406.23,expiry,0
445,10,9,2025-07-09 08:00:00+00:00,close,BTC-9JUL25-105000-P,buy,11.2,0.0,-0.0,0.0,108743.28,-0.0,0.0,101406.23,expiry,0
445,11,11,2025-07-14 22:00:00+00:00,open,BTC-15JUL25-123500-C,sell,10.1,0.0003,0.0030300003,0.000315726,120043.58,363.73206,37.90088,101732.06,,0
445,11,11,2025-07-14 22:00:00+00:00,open,BTC-15JUL25-116000-P,sell,10.1,1e-04,0.00101,0.000105242,120043.58,121.24401,12.633626,101840.67,,0
445,12,11,2025-07-15 08:00:00+00:00,close,BTC-15JUL25-123500-C,buy,10.1,0.0,-0.0,0.0,116766.02,-0.0,0.0,101840.67,expiry,0
445,12,11,2025-07-15 08:00:00+00:00,close,BTC-15JUL25-116000-P,buy,10.1,0.0,-0.0,0.0,116766.02,-0.0,0.0,101840.67,expiry,0
445,13,13,2025-07-16 22:00:00+00:00,open,BTC-17JUL25-123000-C,sell,10.2,0.0002,0.00204,0.00021256799,119513.06,243.80664,25.404652,102059.07,,0
445,13,13,2025-07-16 22:00:00+00:00,open,BTC-17JUL25-116000-P,sell,10.2,1e-04,0.00102,0.000106283995,119513.06,121.90332,12.702326,102168.27,,0
445,14,13,2025-07-17 08:00:00+00:00,close,BTC-17JUL25-123000-C,buy,10.2,0.0,-0.0,0.0,118378.85,-0.0,0.0,102168.27,expiry,0
445,14,13,2025-07-17 08:00:00+00:00,close,BTC-17JUL25-116000-P,buy,10.2,0.0,-0.0,0.0,118378.85,-0.0,0.0,102168.27,expiry,0
445,15,15,2025-07-23 20:00:00+00:00,open,BTC-24JUL25-122000-C,sell,10.3,1e-04,0.0010299999,0.000107326,118460.99,122.01482,12.713944,102277.57,,0
445,15,15,2025-07-23 20:00:00+00:00,open,BTC-24JUL25-115000-P,sell,10.3,0.0002,0.0020599999,0.000214652,118460.99,244.02963,25.427889,102496.17,,0
