entry,n_open_bucket,bars,breach_any_pct,breach_v_pct,breach_d_pct
RichForce16,0,1055,0.0,0.0,0.0
RichForce16,1,3745,0.0,0.0,0.0
RichForce16,11+,57570,100.0,100.0,86.701
RichForce16,2-3,24548,54.041,0.0,54.041
RichForce16,4-5,25748,88.069,3.142,88.053
RichForce16,6-10,24121,99.428,77.464,96.178
Daily15,0,179,0.0,0.0,0.0
Daily15,1,1279,0.0,0.0,0.0
Daily15,11+,104827,100.0,100.0,89.545
Daily15,2-3,4923,44.648,0.0,44.648
Daily15,4-5,5103,91.574,0.0,91.574
Daily15,6-10,20476,98.843,88.225,98.843
