entry,entry_policy,greek_limits_mode,qty_per_1btc_equity,max_concurrent,hold_days,perp_delta_hedge,option_hedge_mode,take_profit_pct,ann_return,max_dd_pct,sharpe,pnl,n_closes,bars,breach_any_pct,breach_d_pct,breach_g_pct,breach_v_pct,breach_t_pct,max_abs_v,min_g,skips,sized_opens,perp_trades,perp_fees,wing_adjusts
RichForce16,fav_sharpe_rich4_f5_1600,off,0.05,5,0,0,off,0.6,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.05,5,0,0,off,0.5,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.05,5,0,0,off,0.6,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.05,5,0,0,off,0.5,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.1,5,0,0,off,0.6,0.070878,2.0764,1.7145,9355.11,47,136787,41.713,41.713,0.0,0.0,0.0,0.1431,-1.616,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.1,5,0,0,off,0.5,0.073848,3.9558,1.171,9663.83,59,136787,66.877,66.877,0.0,0.0,0.0,0.1503,-2.2744,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.1,5,0,0,off,0.6,0.065697,2.0764,1.7069,8664.66,47,136787,38.572,38.572,0.0,0.0,0.0,0.1118,-1.616,0,6,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.1,5,0,0,off,0.5,0.066783,3.9558,1.1787,8722.61,59,136787,63.999,63.999,0.0,0.0,0.0,0.1366,-2.2744,0,9,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.15,5,0,0,off,0.6,0.146792,2.636,2.3734,19587.09,59,136787,58.575,58.575,0.0,0.0,0.0,0.1911,-2.1696,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.15,5,0,0,off,0.5,0.142443,7.904,1.2462,18805.46,72,136787,93.009,93.009,0.0,17.91,0.0,0.2848,-4.56,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.15,5,0,0,off,0.6,0.115665,1.6599,2.3591,15365.85,59,136787,47.101,47.101,0.0,0.0,0.0,0.1791,-2.1696,0,24,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.15,5,0,0,off,0.5,0.099818,5.6115,1.2702,13049.93,72,136787,86.497,86.497,0.0,0.0,0.0,0.1946,-3.1853,0,35,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,5,0,0,off,0.6,0.213052,3.4111,2.4539,28689.33,59,136787,63.542,60.476,0.0,16.48,0.0,0.253,-2.7858,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.2,5,0,0,off,0.5,0.188427,7.904,1.4292,25088.7,72,136787,96.198,96.198,0.0,29.775,0.0,0.2848,-4.56,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.2,5,0,0,off,0.6,0.126556,2.3916,2.4633,16838.7,59,136787,49.489,49.486,0.0,0.003,0.0,0.2006,-2.1627,0,41,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.2,5,0,0,off,0.5,0.104098,5.6115,1.3101,13624.76,72,136787,89.497,89.497,0.0,0.0,0.0,0.1946,-3.1853,0,57,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.05,10,0,0,off,0.6,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.05,10,0,0,off,0.5,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.05,10,0,0,off,0.6,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.05,10,0,0,off,0.5,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.1,10,0,0,off,0.6,0.097245,3.0006,1.8564,12884.54,66,136787,46.336,46.336,0.0,2.217,0.0,0.2391,-2.9031,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.1,10,0,0,off,0.5,0.139616,4.9635,1.3569,18516.18,105,136787,74.597,74.495,0.0,21.677,0.0,0.3317,-3.3047,0,0,0,0.0,0
