entry,entry_policy,greek_limits_mode,qty_per_1btc_equity,max_concurrent,hold_days,perp_delta_hedge,option_hedge_mode,wing_expiry_mode,wing_delta,wing_trigger,take_profit_pct,ann_return,max_dd_pct,sharpe,pnl,n_closes,bars,breach_any_pct,breach_d_pct,breach_g_pct,breach_v_pct,breach_t_pct,max_abs_v,min_g,skips,sized_opens,perp_trades,perp_fees,wing_adjusts,wing_opens,wing_premium_paid
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,off,same,0.1,dg,0.6,0.536523,6.681,3.1142,75231.2,138,136787,85.896,79.723,0.0,56.339,0.0,0.8506,-7.7407,0,0,0,0.0,0,0,0.0
Daily15,fav_pnl_daily_1500,off,0.2,20,0,0,off,same,0.1,dg,0.5,0.840678,13.3855,2.3927,121491.06,244,136787,96.454,88.442,0.118,89.842,0.0,1.2201,-10.901,0,0,0,0.0,0,0,0.0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,same,0.05,dg,0.6,0.443313,9.7127,2.4596,61479.54,138,136787,84.886,78.535,0.0,56.275,0.0,0.7718,-8.3039,0,0,0,0.0,165,165,13751.66
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,same,0.05,dgv,0.6,0.509439,6.7258,2.987,71208.44,138,136787,83.932,77.693,0.0,54.249,0.0,0.8476,-7.7964,0,0,0,0.0,105,105,4022.76
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,same,0.1,dg,0.6,0.380673,15.6034,1.9819,52388.55,138,136787,84.677,78.495,0.0,57.394,0.0,0.8444,-9.1103,0,0,0,0.0,167,167,22842.65
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,same,0.1,dgv,0.6,0.508443,6.7386,2.991,71060.84,138,136787,83.229,76.846,0.0,54.248,0.0,0.8484,-7.8122,0,0,0,0.0,96,96,4170.36
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,same,0.15,dg,0.6,0.467442,5.4407,2.9197,65014.13,138,136787,81.652,74.98,0.0,52.049,0.0,0.7578,-6.6183,0,0,0,0.0,86,86,10217.07
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,same,0.15,dgv,0.6,0.49406,6.8567,2.9375,68933.92,138,136787,82.006,75.309,0.0,54.073,0.0,0.8329,-7.959,0,0,0,0.0,59,59,6297.28
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,next_listed,0.05,dg,0.6,0.357333,19.5187,1.8071,49033.03,138,136787,85.434,79.323,0.0,55.972,0.0,0.8552,-9.4087,0,0,0,0.0,173,173,26198.17
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,sticky_budget,next_listed,0.05,dgv,0.6,0.507787,6.7438,2.9768,70963.67,138,136787,83.533,77.329,0.0,53.818,0.0,0.8406,-7.7634,0,0,0,0.0,96,96,4267.53
