entry,option_hedge_mode,wing_expiry_mode,wing_delta,wing_trigger,wing_opens,wing_adjusts,wing_premium_paid,breach_d_pct,breach_g_pct,breach_v_pct,ann_return,max_dd_pct,pnl
RichForce16,off,same,0.1,dg,0,0,0.0,79.723,0.0,56.339,0.536523,6.681,75231.2
Daily15,off,same,0.1,dg,0,0,0.0,88.442,0.118,89.842,0.840678,13.3855,121491.06
RichForce16,sticky_budget,same,0.05,dg,165,165,13751.66,78.535,0.0,56.275,0.443313,9.7127,61479.54
RichForce16,sticky_budget,same,0.05,dgv,105,105,4022.76,77.693,0.0,54.249,0.509439,6.7258,71208.44
RichForce16,sticky_budget,same,0.1,dg,167,167,22842.65,78.495,0.0,57.394,0.380673,15.6034,52388.55
RichForce16,sticky_budget,same,0.1,dgv,96,96,4170.36,76.846,0.0,54.248,0.508443,6.7386,71060.84
RichForce16,sticky_budget,same,0.15,dg,86,86,10217.07,74.98,0.0,52.049,0.467442,5.4407,65014.13
RichForce16,sticky_budget,same,0.15,dgv,59,59,6297.28,75.309,0.0,54.073,0.49406,6.8567,68933.92
RichForce16,sticky_budget,next_listed,0.05,dg,173,173,26198.17,79.323,0.0,55.972,0.357333,19.5187,49033.03
RichForce16,sticky_budget,next_listed,0.05,dgv,96,96,4267.53,77.329,0.0,53.818,0.507787,6.7438,70963.67
RichForce16,sticky_budget,next_listed,0.1,dg,165,165,35294.36,79.476,0.038,55.965,0.293432,26.8013,39936.84
RichForce16,sticky_budget,next_listed,0.1,dgv,100,100,4297.89,76.82,0.0,53.738,0.507582,6.7803,70933.31
RichForce16,sticky_budget,next_listed,0.15,dg,176,176,42407.55,77.608,0.836,56.177,0.242782,32.8743,32823.65
RichForce16,sticky_budget,next_listed,0.15,dgv,91,91,5044.01,76.08,0.0,53.883,0.50254,6.7968,70187.2
Daily15,sticky_budget,same,0.05,dg,217,217,39896.64,89.819,6.518,90.726,0.580998,29.0757,81594.42
Daily15,sticky_budget,same,0.05,dgv,70,70,5179.94,87.256,0.2,88.878,0.807624,13.7059,116311.12
Daily15,sticky_budget,same,0.1,dg,213,213,39615.55,89.413,6.261,89.591,0.582872,30.2235,81875.52
Daily15,sticky_budget,same,0.1,dgv,69,69,4861.23,87.471,0.067,88.873,0.809663,13.6488,116629.83
Daily15,sticky_budget,same,0.15,dg,145,145,6709.56,84.82,0.075,88.915,0.797828,13.7568,114781.51
Daily15,sticky_budget,same,0.15,dgv,56,56,4999.53,87.46,0.013,88.826,0.808779,13.6129,116491.54
Daily15,sticky_budget,next_listed,0.05,dg,215,215,41385.84,90.006,8.454,90.31,0.571061,32.1781,80105.22
Daily15,sticky_budget,next_listed,0.05,dgv,70,70,5741.46,87.326,0.192,88.082,0.80403,13.6996,115749.6
Daily15,sticky_budget,next_listed,0.1,dg,226,226,45572.53,89.946,8.537,86.484,0.543019,35.8946,75918.53
Daily15,sticky_budget,next_listed,0.1,dgv,77,77,6950.79,87.562,0.205,88.632,0.796282,13.7174,114540.28
Daily15,sticky_budget,next_listed,0.15,dg,178,178,53111.19,90.351,11.149,87.674,0.492128,41.2711,68379.88
Daily15,sticky_budget,next_listed,0.15,dgv,78,78,7017.36,87.492,0.178,88.69,0.795855,13.6496,114473.71
