date,nav_low,nav_high,nav_close
2026-01-01,100000.0,100000.0,100000.0
2026-01-02,100000.0,100000.0,100000.0
2026-01-03,100000.0,100000.0,100000.0
2026-01-04,100000.0,100000.0,100000.0
2026-01-05,100000.0,100000.0,100000.0
2026-01-06,100000.0,100000.0,100000.0
2026-01-07,100000.0,100000.0,100000.0
2026-01-08,100000.0,100000.0,100000.0
2026-01-09,100000.0,100000.0,100000.0
2026-01-10,100000.0,100000.0,100000.0
2026-01-11,100000.0,100000.0,100000.0
2026-01-12,100000.0,100000.0,100000.0
2026-01-13,100000.0,100000.0,100000.0
2026-01-14,100000.0,100000.0,100000.0
2026-01-15,100000.0,100000.0,100000.0
2026-01-16,100000.0,100000.0,100000.0
2026-01-17,100000.0,100000.0,100000.0
2026-01-18,100000.0,100000.0,100000.0
2026-01-19,99690.516,100374.62,99917.56
2026-01-20,99826.266,101433.84,101433.84
2026-01-21,101433.84,101433.84,101433.84
2026-01-22,101433.84,101433.84,101433.84
2026-01-23,101433.84,101433.84,101433.84
2026-01-24,101433.84,101433.84,101433.84
2026-01-25,101195.9,101449.67,101279.85
2026-01-26,100629.78,101325.66,100655.58
2026-01-27,100496.28,100712.31,100496.28
2026-01-28,100496.28,100496.28,100496.28
2026-01-29,100137.75,101078.5,100384.23
2026-01-30,100383.84,101966.15,101966.15
2026-01-31,101966.15,101966.15,101966.15
2026-02-01,101966.15,101966.15,101966.15
2026-02-02,101966.15,101966.15,101966.15
2026-02-03,101966.15,101966.15,101966.15
2026-02-04,101966.15,101966.15,101966.15
2026-02-05,100992.766,104995.63,103947.44
2026-02-06,104035.36,106640.47,106381.43
2026-02-07,105503.67,106499.64,105702.47
2026-02-08,105575.695,106394.41,105918.305
2026-02-09,104881.78,106174.02,105010.26
2026-02-10,104641.2,105369.84,104695.336
2026-02-11,104695.336,104695.336,104695.336
2026-02-12,104695.336,104695.336,104695.336
2026-02-13,104695.336,104695.336,104695.336
2026-02-14,104387.16,104695.336,104459.484
2026-02-15,104204.32,104714.234,104246.89
2026-02-16,103557.83,104275.09,103558.805
2026-02-17,103524.62,104082.875,103685.75
2026-02-18,103391.21,103881.88,103443.26
2026-02-19,103443.26,103443.26,103443.26
2026-02-20,103443.26,103443.26,103443.26
2026-02-21,103443.26,103443.26,103443.26
2026-02-22,103443.26,103443.26,103443.26
2026-02-23,103443.26,103443.26,103443.26
2026-02-24,103443.26,103443.26,103443.26
2026-02-25,103443.26,103443.26,103443.26
2026-02-26,103443.26,103443.26,103443.26
2026-02-27,103443.26,103443.26,103443.26
2026-02-28,103443.26,103443.26,103443.26
2026-03-01,103443.26,103443.26,103443.26
2026-03-02,103211.79,103604.35,103248.04
2026-03-03,102774.0,103319.164,102956.26
2026-03-04,102796.81,104648.34,104157.54
2026-03-05,103696.97,104345.65,103821.82
2026-03-06,103596.914,104886.59,104829.83
2026-03-07,104829.83,104829.83,104829.83
2026-03-08,104829.83,104829.83,104829.83
2026-03-09,104707.5,105505.414,104899.73
2026-03-10,104864.53,106541.4,106541.4
2026-03-11,106541.4,106541.4,106541.4
2026-03-12,106541.4,106541.4,106541.4
2026-03-13,106541.4,106541.4,106541.4
2026-03-14,106541.4,106541.4,106541.4
2026-03-15,106541.4,106541.4,106541.4
2026-03-16,106541.4,106541.4,106541.4
2026-03-17,106541.4,106541.4,106541.4
2026-03-18,106541.4,106541.4,106541.4
2026-03-19,106541.4,106541.4,106541.4
2026-03-20,106541.4,106541.4,106541.4
2026-03-21,106541.4,106541.4,106541.4
2026-03-22,106426.2,107173.8,106812.76
2026-03-23,105427.63,106972.23,105762.14
2026-03-24,105134.0,105891.555,105458.05
2026-03-25,105386.44,105828.05,105696.93
2026-03-26,105696.93,105696.93,105696.93
2026-03-27,105696.93,105696.93,105696.93
2026-03-28,105696.93,105696.93,105696.93
2026-03-29,105696.93,105696.93,105696.93
2026-03-30,105696.93,105696.93,105696.93
2026-03-31,105696.93,105696.93,105696.93
2026-04-01,105696.93,105696.93,105696.93
2026-04-02,105696.93,105696.93,105696.93
2026-04-03,105696.93,105696.93,105696.93
2026-04-04,105696.93,105696.93,105696.93
2026-04-05,105696.93,105696.93,105696.93
2026-04-06,105359.55,106043.63,105431.36
2026-04-07,105013.53,107030.93,107030.93
2026-04-08,107030.93,107030.93,107030.93
2026-04-09,107030.93,107030.93,107030.93
2026-04-10,107030.93,107030.93,107030.93
2026-04-11,107030.93,107030.93,107030.93
2026-04-12,107030.93,107030.93,107030.93
2026-04-13,107030.93,107030.93,107030.93
2026-04-14,107030.93,107030.93,107030.93
2026-04-15,107030.93,107030.93,107030.93
2026-04-16,107030.93,107030.93,107030.93
2026-04-17,107030.93,107030.93,107030.93
2026-04-18,107030.93,107030.93,107030.93
2026-04-19,107030.93,107030.93,107030.93
2026-04-20,107030.93,107030.93,107030.93
2026-04-21,107030.93,107030.93,107030.93
2026-04-22,107030.93,107030.93,107030.93
2026-04-23,107030.93,107030.93,107030.93
2026-04-24,107030.93,107030.93,107030.93
2026-04-25,107030.93,107030.93,107030.93
2026-04-26,107030.93,107030.93,107030.93
2026-04-27,107030.93,107030.93,107030.93
2026-04-28,107030.93,107030.93,107030.93
2026-04-29,107030.93,107030.93,107030.93
2026-04-30,107030.93,107030.93,107030.93
2026-05-01,107030.93,107030.93,107030.93
2026-05-02,107030.93,107030.93,107030.93
2026-05-03,107030.93,107030.93,107030.93
2026-05-04,107030.93,107030.93,107030.93
2026-05-05,107030.93,107030.93,107030.93
2026-05-06,107030.93,107030.93,107030.93
2026-05-07,107030.93,107030.93,107030.93
2026-05-08,107030.93,107030.93,107030.93
2026-05-09,107030.93,107030.93,107030.93
2026-05-10,107030.93,107030.93,107030.93
2026-05-11,107030.93,107030.93,107030.93
2026-05-12,107030.93,107030.93,107030.93
