date,nav_low,nav_high,nav_close
2026-01-01,100000.0,100000.0,100000.0
2026-01-02,100000.0,100000.0,100000.0
2026-01-03,100000.0,100000.0,100000.0
2026-01-04,100000.0,100000.0,100000.0
2026-01-05,100000.0,100000.0,100000.0
2026-01-06,100000.0,100000.0,100000.0
2026-01-07,100000.0,100000.0,100000.0
2026-01-08,100000.0,100000.0,100000.0
2026-01-09,100000.0,100000.0,100000.0
2026-01-10,100000.0,100000.0,100000.0
2026-01-11,100000.0,100000.0,100000.0
2026-01-12,100000.0,100000.0,100000.0
2026-01-13,100000.0,100000.0,100000.0
2026-01-14,100000.0,100000.0,100000.0
2026-01-15,100000.0,100000.0,100000.0
2026-01-16,100000.0,100000.0,100000.0
2026-01-17,100000.0,100000.0,100000.0
2026-01-18,100000.0,100000.0,100000.0
2026-01-19,99690.516,100374.62,99917.56
2026-01-20,99826.266,101433.84,101433.84
2026-01-21,101433.84,101433.84,101433.84
2026-01-22,101433.84,101433.84,101433.84
2026-01-23,101433.84,101433.84,101433.84
2026-01-24,101433.84,101433.84,101433.84
2026-01-25,101195.9,101449.67,101279.85
2026-01-26,100629.78,101325.66,100655.58
2026-01-27,100496.28,100712.31,100496.28
2026-01-28,100496.28,100496.28,100496.28
2026-01-29,100137.75,101078.5,100384.23
2026-01-30,100383.84,101966.15,101966.15
2026-01-31,101966.15,101966.15,101966.15
2026-02-01,101966.15,101966.15,101966.15
2026-02-02,101504.65,101966.15,101705.56
2026-02-03,101163.516,101747.4,101174.086
2026-02-04,101100.72,101228.94,101100.72
2026-02-05,100127.33,104130.195,103082.01
2026-02-06,103169.92,105775.04,105516.0
2026-02-07,104638.24,105634.21,104837.04
2026-02-08,104710.26,105528.98,105052.875
2026-02-09,104016.34,105308.59,104144.83
2026-02-10,103456.61,104504.414,103528.195
2026-02-11,103057.04,103634.73,103071.39
2026-02-12,103029.02,103148.32,103029.02
2026-02-13,103029.02,103029.02,103029.02
2026-02-14,102720.836,103029.02,102793.17
2026-02-15,102538.0,103047.914,102580.58
2026-02-16,101891.516,102608.78,101892.49
2026-02-17,101858.305,102416.555,102019.44
2026-02-18,101724.89,102215.57,101776.94
2026-02-19,101776.94,101776.94,101776.94
2026-02-20,101776.94,101776.94,101776.94
2026-02-21,101776.94,101776.94,101776.94
2026-02-22,101776.94,101776.94,101776.94
2026-02-23,101776.94,101776.94,101776.94
2026-02-24,101776.94,101776.94,101776.94
2026-02-25,101776.94,101776.94,101776.94
2026-02-26,101776.94,101776.94,101776.94
2026-02-27,101776.94,101776.94,101776.94
2026-02-28,101776.94,101776.94,101776.94
2026-03-01,101776.94,101776.94,101776.94
2026-03-02,101545.48,101938.03,101581.73
2026-03-03,101107.68,101779.44,101346.34
2026-03-04,100870.93,104146.625,103655.83
2026-03-05,103195.25,103843.94,103320.11
2026-03-06,103095.2,104384.875,104328.11
2026-03-07,104328.11,104328.11,104328.11
2026-03-08,104328.11,104328.11,104328.11
2026-03-09,104205.78,105003.695,104398.016
2026-03-10,104362.81,106039.68,106039.68
2026-03-11,106039.68,106039.68,106039.68
2026-03-12,106039.68,106039.68,106039.68
2026-03-13,106039.68,106039.68,106039.68
2026-03-14,106039.68,106039.68,106039.68
2026-03-15,106039.68,106039.68,106039.68
2026-03-16,105752.33,106373.33,106335.58
2026-03-17,105648.6,106924.85,105653.94
2026-03-18,105502.53,106613.4,106168.086
2026-03-19,105921.42,107097.13,107097.13
2026-03-20,107097.13,107097.13,107097.13
2026-03-21,107097.13,107097.13,107097.13
2026-03-22,106981.94,107729.54,107368.5
2026-03-23,105983.37,107527.96,106317.875
2026-03-24,105689.74,106447.3,106013.79
2026-03-25,105942.18,106383.79,106252.67
2026-03-26,106252.67,106252.67,106252.67
2026-03-27,106252.67,106252.67,106252.67
2026-03-28,106252.67,106252.67,106252.67
2026-03-29,106252.67,106252.67,106252.67
2026-03-30,106252.67,106252.67,106252.67
2026-03-31,106252.67,106252.67,106252.67
2026-04-01,106252.67,106252.67,106252.67
2026-04-02,106252.67,106252.67,106252.67
2026-04-03,106252.67,106252.67,106252.67
2026-04-04,106252.67,106252.67,106252.67
2026-04-05,106252.67,106252.67,106252.67
2026-04-06,105915.29,106599.375,105987.1
2026-04-07,105569.27,107586.664,107586.664
2026-04-08,107586.664,107586.664,107586.664
2026-04-09,107586.664,107586.664,107586.664
2026-04-10,107586.664,107586.664,107586.664
2026-04-11,107586.664,107586.664,107586.664
2026-04-12,107586.664,107586.664,107586.664
2026-04-13,107586.664,107586.664,107586.664
2026-04-14,107586.664,107586.664,107586.664
2026-04-15,107586.664,107586.664,107586.664
2026-04-16,107586.664,107586.664,107586.664
2026-04-17,107586.664,107586.664,107586.664
2026-04-18,107586.664,107586.664,107586.664
2026-04-19,107586.664,107586.664,107586.664
2026-04-20,107586.664,107586.664,107586.664
2026-04-21,107586.664,107586.664,107586.664
2026-04-22,107586.664,107586.664,107586.664
2026-04-23,107586.664,107586.664,107586.664
2026-04-24,107586.664,107586.664,107586.664
2026-04-25,107586.664,107586.664,107586.664
2026-04-26,107586.664,107586.664,107586.664
2026-04-27,107210.93,107602.32,107210.93
2026-04-28,107203.9,107761.35,107425.55
2026-04-29,106857.305,107532.914,107435.836
2026-04-30,107435.836,107435.836,107435.836
2026-05-01,107435.836,107435.836,107435.836
2026-05-02,107435.836,107435.836,107435.836
2026-05-03,107435.836,107435.836,107435.836
2026-05-04,107435.836,107435.836,107435.836
2026-05-05,107435.836,107435.836,107435.836
2026-05-06,107435.836,107435.836,107435.836
2026-05-07,107435.836,107435.836,107435.836
2026-05-08,107435.836,107435.836,107435.836
2026-05-09,107435.836,107435.836,107435.836
2026-05-10,107435.836,107435.836,107435.836
2026-05-11,107435.836,107435.836,107435.836
2026-05-12,107435.836,107435.836,107435.836
