date,nav_low,nav_high,nav_close
2026-01-01,100000.0,100000.0,100000.0
2026-01-02,100000.0,100000.0,100000.0
2026-01-03,100000.0,100000.0,100000.0
2026-01-04,100000.0,100000.0,100000.0
2026-01-05,100000.0,100000.0,100000.0
2026-01-06,100000.0,100000.0,100000.0
2026-01-07,100000.0,100000.0,100000.0
2026-01-08,100000.0,100000.0,100000.0
2026-01-09,100000.0,100000.0,100000.0
2026-01-10,100000.0,100000.0,100000.0
2026-01-11,100000.0,100000.0,100000.0
2026-01-12,100000.0,100000.0,100000.0
2026-01-13,100000.0,100000.0,100000.0
2026-01-14,100000.0,100000.0,100000.0
2026-01-15,100000.0,100000.0,100000.0
2026-01-16,100000.0,100000.0,100000.0
2026-01-17,100000.0,100000.0,100000.0
2026-01-18,100000.0,100000.0,100000.0
2026-01-19,99690.516,100374.62,99917.56
2026-01-20,99826.266,101433.84,101433.84
2026-01-21,101433.84,101433.84,101433.84
2026-01-22,101433.84,101433.84,101433.84
2026-01-23,101433.84,101433.84,101433.84
2026-01-24,101433.84,101433.84,101433.84
2026-01-25,101195.9,101449.67,101279.85
2026-01-26,100629.78,101325.66,100655.58
2026-01-27,100496.28,100712.31,100496.28
2026-01-28,100496.28,100496.28,100496.28
2026-01-29,100137.75,101078.5,100384.23
2026-01-30,100383.84,101966.15,101966.15
2026-01-31,101966.15,101966.15,101966.15
2026-02-01,101966.15,101966.15,101966.15
2026-02-02,101966.15,101966.15,101966.15
2026-02-03,101966.15,101966.15,101966.15
2026-02-04,101966.15,101966.15,101966.15
2026-02-05,100992.766,104995.63,103947.44
2026-02-06,104035.36,107547.28,106954.22
2026-02-07,104930.93,107302.0,105397.52
2026-02-08,105109.97,107622.836,106438.94
2026-02-09,104239.44,106270.836,104306.21
2026-02-10,103384.055,104313.38,103398.3
2026-02-11,103239.234,103447.35,103242.21
2026-02-12,103242.21,103242.21,103242.21
2026-02-13,103242.21,103242.21,103242.21
2026-02-14,102934.02,103242.21,103006.36
2026-02-15,102751.19,103261.1,102793.76
2026-02-16,102104.7,102821.97,102105.68
2026-02-17,102071.49,102629.74,102232.625
2026-02-18,101938.08,102428.76,101990.125
2026-02-19,101990.125,101990.125,101990.125
2026-02-20,101990.125,101990.125,101990.125
2026-02-21,101990.125,101990.125,101990.125
2026-02-22,101990.125,101990.125,101990.125
2026-02-23,101624.08,101999.29,101718.03
2026-02-24,101360.0,102383.72,101454.38
2026-02-25,100843.48,101517.805,100853.14
2026-02-26,100853.14,100853.14,100853.14
2026-02-27,99914.78,101082.11,100600.02
2026-02-28,100501.58,103613.96,103439.73
2026-03-01,102647.29,103724.3,102761.8
2026-03-02,102016.57,105929.84,105573.53
2026-03-03,105099.484,105644.65,105281.74
2026-03-04,105122.305,106973.83,106483.03
2026-03-05,106022.45,106671.14,106147.31
2026-03-06,105922.41,107212.08,107155.32
2026-03-07,107155.32,107155.32,107155.32
2026-03-08,107155.32,107155.32,107155.32
2026-03-09,107032.984,107830.91,107225.22
2026-03-10,107190.016,108866.88,108866.88
2026-03-11,108866.88,108866.88,108866.88
2026-03-12,108866.88,108866.88,108866.88
2026-03-13,108866.88,108866.88,108866.88
2026-03-14,108866.88,108866.88,108866.88
2026-03-15,108866.88,108866.88,108866.88
2026-03-16,108866.88,108866.88,108866.88
2026-03-17,108866.88,108866.88,108866.88
2026-03-18,108866.88,108866.88,108866.88
2026-03-19,108866.88,108866.88,108866.88
2026-03-20,108866.88,108866.88,108866.88
2026-03-21,108866.88,108866.88,108866.88
2026-03-22,108751.69,109499.29,109138.25
2026-03-23,107753.12,109297.71,108087.625
2026-03-24,107459.49,108217.05,107783.54
2026-03-25,107711.93,108153.54,108022.42
2026-03-26,108022.42,108022.42,108022.42
2026-03-27,108022.42,108022.42,108022.42
2026-03-28,108022.42,108022.42,108022.42
2026-03-29,108022.42,108022.42,108022.42
2026-03-30,108022.42,108022.42,108022.42
2026-03-31,108022.42,108022.42,108022.42
2026-04-01,108022.42,108022.42,108022.42
2026-04-02,108022.42,108022.42,108022.42
2026-04-03,108022.42,108022.42,108022.42
2026-04-04,108022.42,108022.42,108022.42
2026-04-05,108022.42,108022.42,108022.42
2026-04-06,107685.04,108369.125,107756.85
2026-04-07,107339.02,109356.414,109356.414
2026-04-08,109356.414,109356.414,109356.414
2026-04-09,109356.414,109356.414,109356.414
2026-04-10,109356.414,109356.414,109356.414
2026-04-11,109356.414,109356.414,109356.414
2026-04-12,109356.414,109356.414,109356.414
2026-04-13,109356.414,109356.414,109356.414
2026-04-14,109356.414,109356.414,109356.414
2026-04-15,109356.414,109356.414,109356.414
2026-04-16,109356.414,109356.414,109356.414
2026-04-17,109356.414,109356.414,109356.414
2026-04-18,109356.414,109356.414,109356.414
2026-04-19,109356.414,109356.414,109356.414
2026-04-20,109356.414,109356.414,109356.414
2026-04-21,109356.414,109356.414,109356.414
2026-04-22,109356.414,109356.414,109356.414
2026-04-23,109356.414,109356.414,109356.414
2026-04-24,109356.414,109356.414,109356.414
2026-04-25,109356.414,109356.414,109356.414
2026-04-26,109356.414,109356.414,109356.414
2026-04-27,109356.414,109356.414,109356.414
2026-04-28,109356.414,109356.414,109356.414
2026-04-29,109356.414,109356.414,109356.414
2026-04-30,109356.414,109356.414,109356.414
2026-05-01,109356.414,109356.414,109356.414
2026-05-02,109356.414,109356.414,109356.414
2026-05-03,109356.414,109356.414,109356.414
2026-05-04,109356.414,109356.414,109356.414
2026-05-05,109356.414,109356.414,109356.414
2026-05-06,109356.414,109356.414,109356.414
2026-05-07,109356.414,109356.414,109356.414
2026-05-08,109356.414,109356.414,109356.414
2026-05-09,109356.414,109356.414,109356.414
2026-05-10,109356.414,109356.414,109356.414
2026-05-11,108829.945,109356.414,108853.02
2026-05-12,108853.02,108853.02,108853.02
