entry_hour,up_12h,up_16h,up_20h,up_8h,dn_12h,dn_16h,dn_20h,dn_8h
00:00,0.9623,1.4531,1.4531,0.7971,0.8208,1.266,1.4126,0.7738
01:00,1.153,1.3704,1.389,0.7607,0.9878,1.3766,1.4712,0.5946
02:00,1.4185,1.444,1.5488,0.837,1.0414,1.3615,1.3764,0.6083
03:00,1.2011,1.2953,1.4569,0.8607,0.9519,1.2359,1.2448,0.6209
04:00,1.3145,1.4646,1.4816,0.8211,1.1759,1.3396,1.3396,0.6741
05:00,1.269,1.3777,1.516,0.8799,1.3703,1.4018,1.5717,0.7995
06:00,1.2253,1.283,1.3673,1.1066,1.2964,1.4091,1.4091,0.8468
07:00,1.1601,1.2677,1.6231,1.0563,1.2743,1.2928,1.4364,1.1005
08:00,1.1644,1.2744,1.4825,1.1068,1.2693,1.3063,1.4403,1.0942
09:00,1.2195,1.2776,1.3683,1.0196,1.2225,1.3945,1.4829,1.2225
10:00,1.1034,1.39,1.5293,0.9596,1.1723,1.296,1.296,1.0991
11:00,1.1604,1.4059,1.4758,1.1111,1.2718,1.2978,1.2978,1.1601
12:00,1.2637,1.3773,1.4192,1.0569,1.2333,1.2876,1.2876,1.1672
13:00,1.2069,1.405,1.4127,0.9232,1.0459,1.1434,1.1554,0.8281
14:00,0.9331,1.0303,1.0517,0.7339,0.9809,0.9914,1.1168,0.9093
15:00,1.0376,1.1166,1.2306,0.8521,0.8861,0.9537,0.9923,0.765
16:00,0.923,0.9964,1.0632,0.7761,0.8618,0.9254,1.021,0.7704
17:00,0.8974,1.037,1.045,0.7349,0.7119,0.7486,1.0196,0.625
18:00,0.8366,0.9531,1.0882,0.7137,0.7077,0.8912,1.045,0.6054
19:00,0.8191,0.9685,1.0996,0.7127,0.8853,0.9555,1.127,0.7327
20:00,0.7971,0.8327,1.0382,0.6752,0.9753,1.0217,1.1567,0.8497
21:00,0.7437,0.8327,0.9148,0.5758,0.8304,1.0274,1.1254,0.7508
22:00,0.7179,0.8312,0.9769,0.6017,0.8427,1.0651,1.1341,0.7304
23:00,0.7107,1.0188,1.1339,0.6317,0.8642,1.0798,1.2476,0.7529
