dte,type,hour,n,n_days,median,p25,p75,mean
1,call,0,842,64,49.4950,40.8450,53.3900,47.9608
1,call,1,866,65,50.1200,41.0800,53.2675,48.1604
1,call,2,831,64,49.1500,40.3250,53.0800,48.0773
1,call,3,819,63,48.7600,39.9450,53.2750,47.6932
1,call,4,789,64,49.1100,39.9300,53.2500,47.8215
1,call,5,773,64,48.9400,40.1600,53.9300,48.2086
1,call,6,783,63,50.5100,40.0900,55.2300,48.7111
1,call,7,765,64,51.3400,41.0300,55.6500,49.5007
1,call,8,743,64,47.9800,39.7950,54.3650,47.4863
1,call,9,711,65,46.5200,38.4150,52.4400,45.6781
1,call,10,668,63,46.9500,39.1575,52.6000,46.3547
1,call,11,678,64,47.7450,39.7325,53.4525,47.1954
1,call,12,711,65,48.5800,40.7500,56.2450,48.2271
1,call,13,688,65,50.2100,42.5800,56.9425,49.3883
1,call,14,621,65,49.6300,41.7400,55.8600,48.8035
1,call,15,609,65,47.2300,40.2400,52.0700,46.2145
1,call,16,561,64,45.0700,38.7400,49.6700,44.2117
1,call,17,532,62,43.6750,38.3225,49.0350,43.6300
1,call,18,530,61,42.3400,37.3525,48.3250,41.9108
1,call,19,472,61,41.1300,36.4750,48.5150,41.3433
1,call,20,461,64,39.9500,33.8500,47.0400,39.5458
1,call,21,422,59,39.3900,33.2275,45.5400,38.6899
1,call,22,349,60,39.2600,35.0800,47.6800,39.9056
1,call,23,282,55,39.3000,34.9600,46.3450,39.4930
1,put,0,951,65,53.5500,43.6250,57.6800,51.7544
1,put,1,960,65,54.0800,43.0050,57.8325,51.7074
1,put,2,935,65,54.4300,43.1000,57.6750,51.8243
1,put,3,891,65,54.2600,42.5550,57.9450,51.9480
1,put,4,883,65,53.9400,42.4650,58.3100,51.9817
1,put,5,879,65,54.5700,42.3650,58.9250,52.4601
1,put,6,853,65,55.4100,42.1800,59.1700,52.8046
1,put,7,875,64,55.9500,42.8550,59.4050,53.9780
1,put,8,835,65,53.0800,42.3300,58.3800,51.9630
1,put,9,752,65,50.8050,40.2625,55.0450,49.8014
1,put,10,742,64,51.8800,40.5850,56.9500,50.7188
1,put,11,753,64,52.1300,40.7100,59.4900,51.3091
1,put,12,773,64,53.5300,41.2000,61.3800,52.2276
1,put,13,760,65,54.4100,42.7675,63.7775,53.4282
1,put,14,686,65,53.7100,42.2750,62.5275,52.8361
1,put,15,670,64,50.8600,40.6625,59.6150,50.1773
1,put,16,627,64,49.7300,41.0750,56.3200,49.0280
1,put,17,597,65,47.7800,39.7500,54.9800,47.1946
1,put,18,523,62,47.4500,38.4650,53.7000,46.5005
1,put,19,467,62,43.7900,37.6500,52.8500,44.3456
1,put,20,497,61,42.5900,35.4100,49.4600,42.5603
1,put,21,452,63,41.8650,34.5625,50.0875,42.2855
1,put,22,460,61,42.0900,35.4475,51.6150,42.8448
1,put,23,388,58,42.7600,35.7700,52.0400,43.2170
2,call,0,1062,65,48.4650,40.1125,53.3000,46.7655
2,call,1,1055,65,48.8900,40.3300,52.8800,47.0909
2,call,2,1078,65,48.5150,40.0250,52.7700,46.9790
2,call,3,1076,65,48.7450,39.6450,52.7100,46.7360
2,call,4,1058,65,48.9350,40.0100,52.4500,46.8426
2,call,5,1024,64,48.9100,39.8775,52.9750,46.8089
2,call,6,1034,65,48.5450,39.9125,53.7300,47.0454
2,call,7,1012,65,48.6000,39.6225,54.1025,47.4932
2,call,8,981,65,46.8200,38.3200,53.7300,46.5435
2,call,9,960,65,44.9850,38.1350,52.0925,45.1451
2,call,10,974,65,44.8900,39.1500,52.3700,45.3295
2,call,11,966,65,45.6200,39.6200,52.2775,45.6049
2,call,12,997,65,47.6100,40.1700,53.5000,46.7901
2,call,13,978,65,47.8450,39.9900,53.4775,46.9759
2,call,14,952,65,48.2600,39.4675,53.5375,46.6048
2,call,15,920,65,46.5000,38.0175,52.5900,45.3910
2,call,16,892,65,47.0900,37.4275,51.8275,44.5172
2,call,17,865,65,47.2000,38.3100,51.4300,44.5136
2,call,18,819,65,47.2700,38.4150,50.9550,44.4160
2,call,19,843,63,47.2100,38.1900,50.8100,44.0470
2,call,20,798,63,47.0200,38.1800,51.2100,44.3975
2,call,21,791,62,46.4400,37.3550,51.6050,44.0977
2,call,22,774,62,46.3200,36.9150,51.5700,43.6102
2,call,23,780,61,46.3850,36.9250,52.1700,43.2566
2,put,0,1238,65,53.0700,43.0200,58.4125,50.9386
2,put,1,1196,65,52.9200,43.1575,57.8750,50.8707
2,put,2,1217,65,52.3200,42.6100,57.9300,50.9917
2,put,3,1213,65,53.5800,42.6100,57.6600,51.0146
2,put,4,1216,65,52.9850,42.3800,57.8425,51.0080
