hour,hour,iv_call_median,iv_call_p25,iv_call_p75,iv_put_median,iv_put_p25,iv_put_p75,move_1h,move_2h,move_3h,move_4h,move_5h,move_6h,move_7h,move_8h,move_9h,move_10h,move_11h,move_12h,move_13h,move_14h,move_15h,move_16h,move_17h,move_18h,move_19h,move_20h,move_21h,move_22h,move_23h,move_24h
0,0,49.4950,40.8450,53.3900,53.5500,43.6250,57.6800,0.5004,0.7130,0.8793,0.9188,1.0891,1.1238,1.2338,1.3146,1.4229,1.4468,1.5669,1.6816,1.8110,1.8643,2.2078,2.2500,2.4408,2.4670,2.5059,2.5059,2.5377,2.6175,2.6175,2.6175
1,1,50.1200,41.0800,53.2675,54.0800,43.0050,57.8325,0.5208,0.7105,0.8575,0.9878,0.9878,1.0820,1.1926,1.2682,1.3479,1.4802,1.6259,1.7707,1.9108,2.1556,2.2304,2.2565,2.2670,2.2799,2.2799,2.4712,2.5035,2.5035,2.5667,2.6323
2,2,49.1500,40.3250,53.0800,54.4300,43.1000,57.6750,0.3870,0.5765,0.7929,0.8398,0.9544,1.1474,1.1912,1.3026,1.4569,1.5772,1.7105,1.8512,2.1306,2.1630,2.1782,2.2404,2.3443,2.3443,2.3496,2.4162,2.4162,2.4420,2.4420,2.5168
3,3,48.7600,39.9450,53.2750,54.2600,42.5550,57.9450,0.3827,0.6395,0.7525,0.8885,1.0022,1.0477,1.1875,1.2093,1.2951,1.6417,1.9002,1.9959,2.0555,2.1673,2.2450,2.3040,2.3040,2.3585,2.5020,2.5020,2.5190,2.5322,2.5497,2.5545
4,4,49.1100,39.9300,53.2500,53.9400,42.4650,58.3100,0.4198,0.5243,0.7121,0.9513,1.0324,1.0926,1.1366,1.3469,1.5460,1.7782,2.0416,2.0475,2.0590,2.2533,2.2533,2.2533,2.2533,2.2886,2.2886,2.3591,2.4735,2.4868,2.6164,2.6217
5,5,48.9400,40.1600,53.9300,54.5700,42.3650,58.9250,0.3719,0.5552,0.7242,0.8384,0.9754,1.0267,1.1666,1.5681,1.6558,1.9037,2.0124,2.2167,2.2350,2.2731,2.2731,2.2955,2.3300,2.3300,2.3570,2.3981,2.4753,2.5170,2.5170,2.5170
6,6,50.5100,40.0900,55.2300,55.4100,42.1800,59.1700,0.4289,0.6233,0.7690,0.9665,1.0441,1.2211,1.3410,1.5994,1.8814,2.0132,2.1177,2.2283,2.2671,2.2811,2.3111,2.3111,2.3111,2.3750,2.4144,2.4539,2.4539,2.4539,2.4770,2.5152
7,7,51.3400,41.0300,55.6500,55.9500,42.8550,59.4050,0.4368,0.6159,0.7657,0.9732,1.1065,1.4140,1.7511,1.9393,1.9547,2.0173,2.0777,2.0942,2.0942,2.1733,2.2612,2.2612,2.2993,2.3277,2.3277,2.3277,2.3277,2.3723,2.4928,2.4928
8,8,47.9800,39.7950,54.3650,53.0800,42.3300,58.3800,0.4423,0.5792,0.8405,0.9696,1.2584,1.5257,1.7515,1.8770,1.9436,2.0168,2.1312,2.1312,2.1336,2.1715,2.1715,2.2431,2.3427,2.3567,2.3690,2.3690,2.4148,2.4148,2.4148,2.4523
9,9,46.5200,38.4150,52.4400,50.8050,40.2625,55.0450,0.4197,0.5985,0.8109,1.2741,1.6169,1.8809,1.9677,2.0502,2.0502,2.0576,2.0576,2.0819,2.2234,2.2296,2.2550,2.2763,2.3662,2.3662,2.3662,2.4504,2.4504,2.4504,2.5174,2.5505
10,10,46.9500,39.1575,52.6000,51.8800,40.5850,56.9500,0.4343,0.6816,1.0945,1.4806,1.6389,1.7174,1.8616,1.9248,1.9379,2.0021,2.0617,2.1157,2.1157,2.1585,2.2120,2.2207,2.2207,2.2207,2.2207,2.2627,2.2627,2.4570,2.4655,2.5081
11,11,47.7450,39.7325,53.4525,52.1300,40.7100,59.4900,0.4383,0.9844,1.3002,1.5723,1.6397,1.6853,1.7314,1.7983,1.8172,1.8231,1.8326,1.8542,1.8804,2.0925,2.0925,2.1089,2.1361,2.1928,2.2166,2.2166,2.2523,2.3072,2.3636,2.4076
12,12,48.5800,40.7500,56.2450,53.5300,41.2000,61.3800,0.7416,1.3028,1.5090,1.5756,1.7065,1.7825,1.7941,1.7941,1.8581,1.8581,1.8581,1.9423,1.9829,2.1084,2.1613,2.1792,2.2691,2.3267,2.3267,2.4461,2.4520,2.4520,2.6170,2.6170
13,13,50.2100,42.5800,56.9425,54.4100,42.7675,63.7775,0.8451,1.2658,1.3262,1.5471,1.5820,1.6494,1.6962,1.6962,1.7248,1.7248,1.7941,1.7941,1.9237,1.9237,1.9237,2.0396,2.0513,2.0513,2.1173,2.2030,2.2239,2.2648,2.2679,2.3432
