combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,comment,status
0,1,1,2025-04-11 16:30:00+00:00,open,BTC-12APR25-85000-C,sell,5.5,0.0005,0.0027500002,0.00028655,82421.13,226.65813,23.617777,100203.04,,,0
0,1,1,2025-04-11 16:30:00+00:00,open,BTC-12APR25-79000-P,sell,5.5,0.0006,0.0033000002,0.00034386,82421.13,271.98975,28.341331,100446.69,,,0
0,2,1,2025-04-12 08:00:00+00:00,close,BTC-12APR25-85000-C,buy,5.5,0.0,-0.0,0.0,83672.63,-0.0,0.0,100446.69,expiry,,0
0,2,1,2025-04-12 08:00:00+00:00,close,BTC-12APR25-79000-P,buy,5.5,0.0,-0.0,0.0,83672.63,-0.0,0.0,100446.69,expiry,,0
0,3,3,2025-04-14 04:05:00+00:00,open,BTC-14APR25-86000-C,sell,7.1,0.0003,0.0021300002,0.00022194601,84554.62,180.10135,18.76656,100608.02,,,0
0,3,3,2025-04-14 04:05:00+00:00,open,BTC-14APR25-83000-P,sell,7.1,1e-04,0.00071,7.3981995e-05,84554.62,60.033775,6.2555194,100661.805,,,0
0,4,3,2025-04-14 08:00:00+00:00,close,BTC-14APR25-86000-C,buy,7.1,0.0,-0.0,0.0,84618.67,-0.0,0.0,100661.805,expiry,,0
0,4,3,2025-04-14 08:00:00+00:00,close,BTC-14APR25-83000-P,buy,7.1,0.0,-0.0,0.0,84618.67,-0.0,0.0,100661.805,expiry,,0
0,5,5,2025-04-14 18:00:00+00:00,open,BTC-15APR25-88000-C,sell,7.1,0.0002,0.00142,0.00014796399,84858.64,120.49927,12.556024,100769.74,,,0
0,5,5,2025-04-14 18:00:00+00:00,open,BTC-15APR25-81000-P,sell,7.1,0.0003,0.0021300002,0.00022194601,84858.64,180.74892,18.834036,100931.66,,,0
0,6,5,2025-04-15 08:00:00+00:00,close,BTC-15APR25-88000-C,buy,7.1,0.0,-0.0,0.0,85722.27,-0.0,0.0,100931.66,expiry,,0
0,6,5,2025-04-15 08:00:00+00:00,close,BTC-15APR25-81000-P,buy,7.1,0.0,-0.0,0.0,85722.27,-0.0,0.0,100931.66,expiry,,0
0,7,7,2025-04-15 18:00:00+00:00,open,BTC-16APR25-87000-C,sell,7.2,0.0003,0.0021600001,0.00022507201,84453.89,182.42041,19.008207,101095.07,,,0
0,7,7,2025-04-15 18:00:00+00:00,open,BTC-16APR25-82000-P,sell,7.2,0.0003,0.0021600001,0.00022507201,84453.89,182.42041,19.008207,101258.484,,,0
0,8,7,2025-04-16 08:00:00+00:00,close,BTC-16APR25-87000-C,buy,7.2,0.0,-0.0,0.0,83316.36,-0.0,0.0,101258.484,expiry,,0
0,8,7,2025-04-16 08:00:00+00:00,close,BTC-16APR25-82000-P,buy,7.2,0.0,-0.0,0.0,83316.36,-0.0,0.0,101258.484,expiry,,0
0,9,9,2025-04-16 18:00:00+00:00,open,BTC-17APR25-86000-C,sell,7.3,0.0003,0.0021900001,0.00022819801,83496.33,182.85696,19.053696,101422.29,,,0
0,9,9,2025-04-16 18:00:00+00:00,open,BTC-17APR25-80000-P,sell,7.3,0.0003,0.0021900001,0.00022819801,83496.33,182.85696,19.053696,101586.09,,,0
0,10,9,2025-04-17 08:00:00+00:00,close,BTC-17APR25-86000-C,buy,7.3,0.0,-0.0,0.0,84672.26,-0.0,0.0,101586.09,expiry,,0
0,10,9,2025-04-17 08:00:00+00:00,close,BTC-17APR25-80000-P,buy,7.3,0.0,-0.0,0.0,84672.26,-0.0,0.0,101586.09,expiry,,0
0,11,11,2025-04-17 18:00:00+00:00,open,BTC-18APR25-88000-C,sell,7.2,0.0002,0.00144,0.000150048,85112.05,122.56135,12.770892,101695.88,,,0
0,11,11,2025-04-17 18:00:00+00:00,open,BTC-18APR25-83000-P,sell,7.2,0.0004,0.00288,0.000300096,85112.05,245.1227,25.541784,101915.46,,,0
0,12,11,2025-04-18 08:00:00+00:00,close,BTC-18APR25-88000-C,buy,7.2,0.0,-0.0,0.0,84707.59,-0.0,0.0,101915.46,expiry,,0
0,12,11,2025-04-18 08:00:00+00:00,close,BTC-18APR25-83000-P,buy,7.2,0.0,-0.0,0.0,84707.59,-0.0,0.0,101915.46,expiry,,0
0,13,13,2025-04-18 16:30:00+00:00,open,BTC-19APR25-87000-C,sell,7.2,1e-04,0.00072,7.5024e-05,84517.89,60.85288,6.34087,101969.98,,,0
0,13,13,2025-04-18 16:30:00+00:00,open,BTC-19APR25-82000-P,sell,7.2,0.0002,0.00144,0.000150048,84517.89,121.70576,12.68174,102079.0,,,0
0,14,13,2025-04-19 08:00:00+00:00,close,BTC-19APR25-87000-C,buy,7.2,0.0,-0.0,0.0,85216.37,-0.0,0.0,102079.0,expiry,,0
0,14,13,2025-04-19 08:00:00+00:00,close,BTC-19APR25-82000-P,buy,7.2,0.0,-0.0,0.0,85216.37,-0.0,0.0,102079.0,expiry,,0
0,15,15,2025-04-21 04:30:00+00:00,open,BTC-21APR25-88000-C,sell,7.0,0.0002,0.0014,0.00014588,87064.94,121.89091,12.701033,102188.19,,,0
0,15,15,2025-04-21 04:30:00+00:00,open,BTC-21APR25-85500-P,sell,7.0,1e-04,0.0007,7.294e-05,87064.94,60.945454,6.3505163,102242.78,,,0
0,16,15,2025-04-21 08:00:00+00:00,close,BTC-21APR25-88000-C,buy,7.0,0.0,-0.0,0.0,87428.74,-0.0,0.0,102242.78,expiry,,0
0,16,15,2025-04-21 08:00:00+00:00,close,BTC-21APR25-85500-P,buy,7.0,0.0,-0.0,0.0,87428.74,-0.0,0.0,102242.78,expiry,,0
0,17,17,2025-04-21 18:00:00+00:00,open,BTC-22APR25-90000-C,sell,7.1,0.0002,0.00142,0.00014796399,86757.27,123.19533,12.836953,102353.14,,,0
0,17,17,2025-04-21 18:00:00+00:00,open,BTC-22APR25-84000-P,sell,7.1,0.0002,0.00142,0.00014796399,86757.27,123.19533,12.836953,102463.5,,,0
0,18,17,2025-04-22 08:00:00+00:00,close,BTC-22APR25-90000-C,buy,7.1,0.0,-0.0,0.0,88512.86,-0.0,0.0,102463.5,expiry,,0
0,18,17,2025-04-22 08:00:00+00:00,close,BTC-22APR25-84000-P,buy,7.1,0.0,-0.0,0.0,88512.86,-0.0,0.0,102463.5,expiry,,0
0,19,19,2025-04-22 18:00:00+00:00,open,BTC-23APR25-96000-C,sell,6.7,1e-04,0.00067,6.9814e-05,91526.37,61.322666,6.3898215,102518.43,,,0
0,19,19,2025-04-22 18:00:00+00:00,open,BTC-23APR25-88000-P,sell,6.7,0.0003,0.0020100002,0.000209442,91526.37,183.968,19.169466,102683.234,,,0
0,20,19,2025-04-23 08:00:00+00:00,close,BTC-23APR25-96000-C,buy,6.7,0.0,-0.0,0.0,94129.78,-0.0,0.0,102683.234,expiry,,0
0,20,19,2025-04-23 08:00:00+00:00,close,BTC-23APR25-88000-P,buy,6.7,0.0,-0.0,0.0,94129.78,-0.0,0.0,102683.234,expiry,,0
0,21,21,2025-04-23 18:00:00+00:00,open,BTC-24APR25-97000-C,sell,6.6,0.0003,0.0019800002,0.000206316,93948.74,186.01852,19.38313,102849.87,,,0
0,21,21,2025-04-23 18:00:00+00:00,open,BTC-24APR25-91000-P,sell,6.6,0.0004,0.0026399998,0.00027508798,93948.74,248.02467,25.844172,103072.05,,,0
0,22,21,2025-04-24 08:00:00+00:00,close,BTC-24APR25-97000-C,buy,6.6,0.0,-0.0,0.0,92293.75,-0.0,0.0,103072.05,expiry,,0
0,22,21,2025-04-24 08:00:00+00:00,close,BTC-24APR25-91000-P,buy,6.6,0.0,-0.0,0.0,92293.75,-0.0,0.0,103072.05,expiry,,0
0,23,23,2025-04-24 18:00:00+00:00,open,BTC-25APR25-96000-C,sell,6.6,0.0004,0.0026399998,0.00027508798,93047.48,245.64532,25.596243,103292.09,,,0
0,23,23,2025-04-24 18:00:00+00:00,open,BTC-25APR25-90000-P,sell,6.6,0.0004,0.0026399998,0.00027508798,93047.48,245.64532,25.596243,103512.15,,,0
0,24,23,2025-04-25 08:00:00+00:00,close,BTC-25APR25-96000-C,buy,6.6,0.0,-0.0,0.0,93879.48,-0.0,0.0,103512.15,expiry,,0
0,24,23,2025-04-25 08:00:00+00:00,close,BTC-25APR25-90000-P,buy,6.6,0.0,-0.0,0.0,93879.48,-0.0,0.0,103512.15,expiry,,0
0,25,25,2025-04-25 16:30:00+00:00,open,BTC-26APR25-98000-C,sell,6.5,0.0004,0.0026,0.00027092,95122.9,247.31953,25.770695,103733.695,,,0
0,25,25,2025-04-25 16:30:00+00:00,open,BTC-26APR25-92500-P,sell,6.5,0.0003,0.0019500001,0.00020319001,95122.9,185.48965,19.328022,103899.86,,,0
0,26,25,2025-04-26 08:00:00+00:00,close,BTC-26APR25-98000-C,buy,6.5,0.0,-0.0,0.0,94629.69,-0.0,0.0,103899.86,expiry,,0
0,26,25,2025-04-26 08:00:00+00:00,close,BTC-26APR25-92500-P,buy,6.5,0.0,-0.0,0.0,94629.69,-0.0,0.0,103899.86,expiry,,0
0,27,27,2025-04-28 18:00:00+00:00,open,BTC-29APR25-96500-C,sell,6.6,0.0002,0.0013199999,0.00013754399,94117.01,124.23444,12.94523,104011.15,,,0
0,27,27,2025-04-28 18:00:00+00:00,open,BTC-29APR25-92000-P,sell,6.6,0.0003,0.0019800002,0.000206316,94117.01,186.35168,19.417845,104178.08,,,0
0,28,27,2025-04-29 08:00:00+00:00,close,BTC-29APR25-96500-C,buy,6.6,0.0,-0.0,0.0,95003.86,-0.0,0.0,104178.08,expiry,,0
