combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,status
38,1,1,2025-07-14 05:00:00+00:00,open,BTC-14JUL25-123000-C,sell,8.2,0.0006,0.00492,0.00051266403,121378.6,597.18274,62.226444,100534.95,,0
38,1,1,2025-07-14 05:00:00+00:00,open,BTC-14JUL25-120000-P,sell,8.2,0.0002,0.0016399999,0.000170888,121378.6,199.0609,20.742146,100713.27,,0
38,2,1,2025-07-14 08:00:00+00:00,close,BTC-14JUL25-123000-C,buy,8.2,0.0,-0.0,0.0,122699.09,-0.0,0.0,100713.27,expiry,0
38,2,1,2025-07-14 08:00:00+00:00,close,BTC-14JUL25-120000-P,buy,8.2,0.0,-0.0,0.0,122699.09,-0.0,0.0,100713.27,expiry,0
38,3,3,2025-07-28 05:00:00+00:00,open,BTC-28JUL25-120500-C,sell,10.1,1e-04,0.00101,0.000105242,119239.67,120.43207,12.549021,100821.16,,0
38,3,3,2025-07-28 05:00:00+00:00,open,BTC-28JUL25-118000-P,sell,10.1,1e-04,0.00101,0.000105242,119239.67,120.43207,12.549021,100929.04,,0
38,4,3,2025-07-28 08:00:00+00:00,close,BTC-28JUL25-120500-C,buy,10.1,0.0,-0.0,0.0,118850.5,-0.0,0.0,100929.04,expiry,0
38,4,3,2025-07-28 08:00:00+00:00,close,BTC-28JUL25-118000-P,buy,10.1,0.0,-0.0,0.0,118850.5,-0.0,0.0,100929.04,expiry,0
38,5,5,2025-08-11 05:00:00+00:00,open,BTC-11AUG25-124000-C,sell,9.9,0.0003,0.00297,0.000309474,122037.98,362.45282,37.767582,101253.73,,0
38,5,5,2025-08-11 05:00:00+00:00,open,BTC-11AUG25-120000-P,sell,9.9,1e-04,0.00099,0.000103157996,122037.98,120.8176,12.589193,101361.95,,0
38,6,5,2025-08-11 08:00:00+00:00,close,BTC-11AUG25-124000-C,buy,9.9,0.0,-0.0,0.0,121549.73,-0.0,0.0,101361.95,expiry,0
38,6,5,2025-08-11 08:00:00+00:00,close,BTC-11AUG25-120000-P,buy,9.9,0.0,-0.0,0.0,121549.73,-0.0,0.0,101361.95,expiry,0
38,7,7,2025-08-18 05:00:00+00:00,open,BTC-18AUG25-117000-C,sell,10.5,1e-04,0.00105,0.00010941,115571.83,121.35042,12.644713,101470.664,,0
38,7,7,2025-08-18 05:00:00+00:00,open,BTC-18AUG25-114000-P,sell,10.5,0.0002,0.0021,0.00021882,115571.83,242.70084,25.289427,101688.07,,0
38,8,7,2025-08-18 08:00:00+00:00,close,BTC-18AUG25-117000-C,buy,10.5,0.0,-0.0,0.0,115302.51,-0.0,0.0,101688.07,expiry,0
38,8,7,2025-08-18 08:00:00+00:00,close,BTC-18AUG25-114000-P,buy,10.5,0.0,-0.0,0.0,115302.51,-0.0,0.0,101688.07,expiry,0
38,9,9,2025-08-25 05:00:00+00:00,open,BTC-25AUG25-114000-C,sell,10.8,0.0002,0.00216,0.000225072,112777.73,243.59988,25.383108,101906.29,,0
38,9,9,2025-08-25 05:00:00+00:00,open,BTC-25AUG25-111000-P,sell,10.8,1e-04,0.00108,0.000112536,112777.73,121.79994,12.691554,102015.4,,0
38,10,9,2025-08-25 08:00:00+00:00,close,BTC-25AUG25-114000-C,buy,10.8,0.0,-0.0,0.0,111392.29,-0.0,0.0,102015.4,expiry,0
38,10,9,2025-08-25 08:00:00+00:00,close,BTC-25AUG25-111000-P,buy,10.8,0.0,-0.0,0.0,111392.29,-0.0,0.0,102015.4,expiry,0
38,11,11,2025-09-22 06:30:00+00:00,open,BTC-22SEP25-114000-C,sell,10.9,0.0002,0.0021799998,0.000227156,112778.71,245.85759,25.61836,102235.63,,0
38,11,11,2025-09-22 06:30:00+00:00,open,BTC-22SEP25-110000-P,sell,10.9,0.0002,0.0021799998,0.000227156,112778.71,245.85759,25.61836,102455.875,,0
38,12,11,2025-09-22 08:00:00+00:00,close,BTC-22SEP25-114000-C,buy,10.9,0.0,-0.0,0.0,112631.59,-0.0,0.0,102455.875,expiry,0
38,12,11,2025-09-22 08:00:00+00:00,close,BTC-22SEP25-110000-P,buy,10.9,0.0,-0.0,0.0,112631.59,-0.0,0.0,102455.875,expiry,0
38,13,13,2025-10-06 05:00:00+00:00,open,BTC-6OCT25-125000-C,sell,10.0,0.0002,0.0019999999,0.0002084,123546.97,247.09393,25.747189,102677.22,,0
38,13,13,2025-10-06 05:00:00+00:00,open,BTC-6OCT25-122000-P,sell,10.0,1e-04,0.0009999999,0.0001042,123546.97,123.54697,12.873594,102787.9,,0
38,14,13,2025-10-06 08:00:00+00:00,close,BTC-6OCT25-125000-C,buy,10.0,0.0,-0.0,0.0,123501.83,-0.0,0.0,102787.9,expiry,0
38,14,13,2025-10-06 08:00:00+00:00,close,BTC-6OCT25-122000-P,buy,10.0,0.0,-0.0,0.0,123501.83,-0.0,0.0,102787.9,expiry,0
38,15,15,2025-10-13 05:00:00+00:00,open,BTC-13OCT25-116000-C,sell,10.7,0.0002,0.00214,0.00022298799,114749.86,245.5647,25.587841,103007.875,,0
38,15,15,2025-10-13 05:00:00+00:00,open,BTC-13OCT25-113000-P,sell,10.7,0.0004,0.00428,0.00044597598,114749.86,491.1294,51.175682,103447.83,,0
